"dates","pur_app_kg","pur_app_kgha","rpt_runf_cms","conv_runf_cmha","rpt_bif_ugl","conv_bif_gha","runf_cmd","bif_ugcm","totl_bif_n_runf_kg","sub_area_ha","sub_perc_develop"
2009-01-02,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-03,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-04,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-05,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-06,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-07,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-08,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-09,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-10,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-11,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-12,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-13,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-14,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-15,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-16,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-17,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-18,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-19,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-20,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-21,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-22,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-23,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-24,0.371094555478064,5.72176129032258e-05,0.0021,7.55785860672809,0.015,4.08008762280671,181.44,15,2.7216e-06,24.0068,0.86940298507
2009-01-25,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-26,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-27,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-28,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-29,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-30,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-01-31,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-01,0.371094555478064,5.72176129032258e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-02,0.375098629306915,5.78349853302611e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-03,0.379102703135765,5.84523577572965e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-04,0.383106776964615,5.90697301843318e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-05,0.387110850793465,5.96871026113671e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-06,0.391114924622315,6.03044750384024e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-07,0.395118998451166,6.09218474654378e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-08,0.399123072280016,6.15392198924731e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-09,0.403127146108866,6.21565923195084e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-10,0.407131219937717,6.27739647465438e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-11,0.411135293766567,6.33913371735791e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-12,0.415139367595417,6.40087096006144e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-13,0.419143441424267,6.46260820276497e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-14,0.423147515253118,6.52434544546851e-05,0.0022,7.91775663561991,0.009,2.56462650576422,190.08,9,1.71072e-06,24.0068,0.86940298507
2009-02-15,0.427151589081968,6.58608268817204e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-16,0.431155662910818,6.64781993087557e-05,0.0022,7.91775663561991,0.275,78.3635876761289,190.08,275,5.2272e-05,24.0068,0.86940298507
2009-02-17,0.435159736739668,6.70955717357911e-05,0.0044,15.8355132712398,0.416,237.08547253287,380.16,416,0.00015814656,24.0068,0.86940298507
2009-02-18,0.439163810568518,6.77129441628264e-05,0.0101,36.3497009180732,0,0,872.64,0,0,24.0068,0.86940298507
2009-02-19,0.443167884397368,6.83303165898617e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-20,0.447171958226219,6.89476890168971e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-21,0.451176032055069,6.95650614439324e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-22,0.455180105883919,7.01824338709677e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-23,0.45918417971277,7.07998062980031e-05,0.0918,330.386390522685,0,0,7931.52,0,0,24.0068,0.86940298507
2009-02-24,0.46318825354162,7.14171787250384e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-25,0.46719232737047,7.20345511520737e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-26,0.47119640119932,7.2651923579109e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-27,0.475200475028171,7.32692960061444e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-02-28,0.479204548857021,7.38866684331797e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-03-01,0.483208622685871,7.4504040860215e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-03-02,0.490342504020097,7.56039860215054e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
2009-03-03,0.497476385354323,7.67039311827957e-05,0,0,0,0,0,0,0,24.0068,0.86940298507
