ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2016	01-AUG-16	PLACER	31	LANDSCAPE MAINTENANCE	ALLECTUS GC SC INSECTICIDE	16.9965	BIFENTHRIN	.33993			
NO	2016	01-JUL-16	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	18	BIFENTHRIN	.0225			
NO	2016	01-AUG-16	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	3	BIFENTHRIN	.00375			
NO	2016	01-JUN-16	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	40	BIFENTHRIN	.05			
NO	2016	01-AUG-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	1.9071	BIFENTHRIN	.1506609			
NO	2016	01-JUN-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	1.7028	BIFENTHRIN	.1345212			
NO	2016	01-MAR-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.4768	BIFENTHRIN	.0376672			
NO	2016	01-MAY-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.8173	BIFENTHRIN	.0645667			
NO	2016	01-SEP-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	4.3591	BIFENTHRIN	.3443689			
NO	2016	01-JUN-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.2384	BIFENTHRIN	.0188336			
NO	2016	01-AUG-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.7492	BIFENTHRIN	.0591868			
NO	2016	01-MAY-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	3.678	BIFENTHRIN	.290562			
NO	2016	01-SEP-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.6811	BIFENTHRIN	.0538069			
NO	2016	01-JUL-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	4.904	BIFENTHRIN	.387416			
NO	2016	01-JUN-16	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.1362	BIFENTHRIN	.0107598			
