month,year,days,bif_kg_pgc,bif_kgha_pgc
1,2009,31,11.0437747,0.001702796
2,2009,28,13.20390472,0.002035858
3,2009,31,17.41290182,0.002684827
4,2009,30,23.36732584,0.003602916
5,2009,31,18.09825157,0.002790498
6,2009,30,20.10651817,0.003100145
7,2009,31,25.13703001,0.00387578
8,2009,31,21.64610088,0.003337527
9,2009,30,24.35206715,0.00375475
10,2009,31,14.31720984,0.002207514
11,2009,30,15.22523898,0.00234752
12,2009,31,7.212287525,0.001112034
1,2010,31,9.501052748,0.00146493
2,2010,28,8.940875547,0.001378559
3,2010,31,12.5161004,0.001929808
4,2010,30,12.20769353,0.001882256
5,2010,31,21.15794572,0.003262261
6,2010,30,17.28422713,0.002664987
7,2010,31,12.46167033,0.001921416
8,2010,31,9.95724901,0.001535269
9,2010,30,21.1391483,0.003259362
10,2010,31,13.69895556,0.002112188
11,2010,30,7.96258862,0.00122772
12,2010,31,30.60694864,0.004719165
1,2011,31,33.80245608,0.005211868
2,2011,28,32.52580458,0.005015026
3,2011,31,31.83839843,0.004909038
4,2011,30,34.88495151,0.005378774
5,2011,31,32.67749259,0.005038414
6,2011,30,41.310586,0.006369517
7,2011,31,10.98249193,0.001693347
8,2011,31,36.46482338,0.005622368
9,2011,30,98.61179826,0.015204566
10,2011,31,33.37186481,0.005145477
11,2011,30,32.16149673,0.004958855
12,2011,31,28.09425377,0.004331743
1,2012,31,36.26151867,0.005591021
2,2012,29,27.13310532,0.004183547
3,2012,31,15.48151854,0.002387035
4,2012,30,14.89998012,0.002297369
5,2012,31,29.29306729,0.004516583
6,2012,30,25.37105589,0.003911864
7,2012,31,14.98827317,0.002310983
8,2012,31,84.54854174,0.013036208
9,2012,30,15.32223348,0.002362475
10,2012,31,10.94948768,0.001688259
11,2012,30,14.38726973,0.002218317
12,2012,31,10.6829009,0.001647155
1,2013,31,8.28544797,0.001277501
2,2013,28,11.58608605,0.001786413
3,2013,31,13.6971471,0.002111909
4,2013,30,25.3393621,0.003906977
5,2013,31,18.76271125,0.002892949
6,2013,30,16.80993337,0.002591858
7,2013,31,38.52565721,0.00594012
8,2013,31,18.04276787,0.002781944
9,2013,30,10.978143,0.001692677
10,2013,31,9.31211307,0.001435798
11,2013,30,10.99978401,0.001696014
12,2013,31,9.207806956,0.001419716
1,2014,31,8.347676977,0.001287096
2,2014,28,7.927742912,0.001222348
3,2014,31,4.118006654,0.000634939
4,2014,30,18.14604509,0.002797867
5,2014,31,10.73703217,0.001655501
6,2014,30,8.984073698,0.001385219
7,2014,31,9.663509327,0.001489979
8,2014,31,37.59125929,0.005796049
9,2014,30,18.51401155,0.002854603
10,2014,31,34.03836919,0.005248243
11,2014,30,12.28340889,0.001893931
12,2014,31,7.366943683,0.00113588
1,2015,31,249.1580635,0.038416704
2,2015,28,285.0290521,0.043947511
3,2015,31,254.9738702,0.03931342
4,2015,30,313.6703349,0.048363598
5,2015,31,17.61251982,0.002715605
6,2015,30,11.30906051,0.0017437
7,2015,31,22.79947075,0.003515361
8,2015,31,14.26622551,0.002199653
9,2015,30,78.19158272,0.012056053
10,2015,31,14.58142562,0.002248253
11,2015,30,10.81886983,0.001668119
12,2015,31,8.947933315,0.001379647
1,2016,31,8.226216769,0.001268368
2,2016,29,13.86219702,0.002137358
3,2016,31,10.85284968,0.001673358
4,2016,30,25.49599494,0.003931127
5,2016,31,26.51926328,0.004088901
6,2016,30,14.69407526,0.002265622
7,2016,31,9.565593358,0.001474881
8,2016,31,12.22659502,0.001885171
9,2016,30,7.517442267,0.001159085
10,2016,31,9.726680065,0.001499719
11,2016,30,12.10419157,0.001866298
12,2016,31,12.70901429,0.001959553
1,2017,31,6.178724568,0.000952673
2,2017,28,7.338269627,0.001131459
3,2017,31,14.01623146,0.002161108
4,2017,30,13.98734618,0.002156654
5,2017,31,25.33822118,0.003906801
6,2017,30,19.30079737,0.002975914
7,2017,31,18.92413406,0.002917838
8,2017,31,17.70498386,0.002729862
9,2017,30,18.35311298,0.002829794
10,2017,31,10.43953072,0.00160963
11,2017,30,6.827368028,0.001052685
12,2017,31,13.43871606,0.002072063
