day,percent.001,percent.023,percent.159,percent.5,percent.841,percent.977,percent.999
1,2009-01-01,1e-08,0,0,0,0,0,0
2,2009-01-02,1e-08,0,0,0,0,0,0
3,2009-01-03,1e-08,0,0,0,467667200,1166598400,1279660800
4,2009-01-04,1e-08,0,0,0,18030740,44977780,49336860
5,2009-01-05,1e-08,0,0,0,9912812,24727564,27124068
6,2009-01-06,1e-08,0,0,0,8479016,21150952,23200824
7,2009-01-07,1e-08,0,0,0,8224216,20515352,22503624
8,2009-01-08,1e-08,0,0,0,8177624,20399128,22376136
9,2009-01-09,1e-08,0,0,0,8168160,20375520,22350240
10,2009-01-10,1e-08,0,0,0,8164520,20366440,22340280
11,2009-01-11,1e-08,0,0,0,8162700,20361900,22335300
12,2009-01-12,1e-08,0,0,0,8161608,20359176,22332312
13,2009-01-13,1e-08,0,0,0,8159424,20353728,22326336
14,2009-01-14,1e-08,0,0,0,8156876,20347372,22319364
15,2009-01-15,1e-08,0,0,0,8048040,20075880,22021560
16,2009-01-16,1e-08,0,0,0,8002904,19963288,21898056
17,2009-01-17,1e-08,0,0,0,8029112,20028664,21969768
18,2009-01-18,1e-08,0,0,0,8024744,20017768,21957816
19,2009-01-19,1e-08,0,0,0,7989436,19929692,21861204
20,2009-01-20,1e-08,0,0,0,7974512,19892464,21820368
21,2009-01-21,1e-08,0,0,0,7991620,19935140,21867180
22,2009-01-22,24895028000,27601644000,44333452000,6.0233e+10,88677080000,110148760000,113622120000
23,2009-01-23,84749624,88833352,114078216,158700000,192778040,241525880,249411560
24,2009-01-24,3419038,3578274,4562642,19971000,46277360,56743920,58437040
25,2009-01-25,1156802800,1247064400,1805045200,3857300000,14854684000,17645948000,18097476000
26,2009-01-26,385308120,401546760,501931080,615660000,808711360,1013385920,1046495040
27,2009-01-27,636887680,662356640,819801120,1.003e+09,1318068400,1651594800,1705547600
28,2009-01-28,675822080,702707840,868910720,1062800000,1396754400,1750136800,1807301600
29,2009-01-29,680990440,708060120,875399960,1070700000,1407101600,1763095200,1820682400
30,2009-01-30,688023000,715369000,884417000,1081700000,1421576800,1781269600,1839455200
31,2009-01-31,688694200,716066600,885277800,1082800000,1422995200,1783014400,1841252800
32,2009-02-01,685288040,712524920,880898360,1077400000,1415930400,1774208800,1832165600
33,2009-02-02,685949240,713212520,881749160,1078500000,1417312400,1775862800,1833863600
34,2009-02-03,686039360,713305280,881858240,1078600000,1417485200,1776144400,1834162800
35,2009-02-04,685378160,712617680,881007440,1077600000,1416130400,1774408800,1832365600
36,2009-02-05,680439280,707483440,874665520,1069800000,1405919600,1761641200,1819184400
37,2009-02-06,1069692000,1078316000,1131628000,1820900000,158889160000,206592520000,214309240000
38,2009-02-07,1066591200,1075197600,1128400800,1683100000,4116480400,7555158800,8111415600
39,2009-02-08,1064990400,1073579200,1126673600,1812900000,3581366800,4742099600,4929865200
40,2009-02-09,5314331600,5935426800,9774924400,2.1478e+10,25327068000,25564796000,25603252000
41,2009-02-10,661191320,675520360,764099880,1164800000,1948140800,2226777600,2271851200
42,2009-02-11,16881780000,17228940000,19375020000,3.2233e+10,71334072000,124481784000,133079208000
43,2009-02-12,182358640,187608720,220063760,250830000,932021080,1424596760,1504278120
44,2009-02-13,938929640,979401720,1229592760,1789700000,2108520800,2466037600,2523871200
45,2009-02-14,24650892,25000516,27161828,32454000,44555532,52559404,53854148
46,2009-02-15,886595360,924773280,1160782240,1.688e+09,1985254800,2312035600,2364897200
47,2009-02-16,49326672,52113456,69340848,86425000,245934640,327676080,340898960
48,2009-02-17,23185404,24008292,29095236,34050000,47440608,52430176,53237312
49,2009-02-18,8329271.2,8616837.6,10394520.8,18346000,29653900,34672300,35484100
50,2009-02-19,861619440,898567120,1126970960,1637600000,1925720400,2241838800,2292975600
51,2009-02-20,1491908000,1555884000,1951372000,2835200000,3336808800,3880373600,3968303200
52,2009-02-21,1595309200,1663711600,2086562800,3031600000,3568279200,4149162400,4243128800
53,2009-02-22,1584488000,1652424000,2072392000,3011100000,3544085600,4120943200,4214258400
54,2009-02-23,6044831.2,6120317.6,6586960.8,12686000,41223300,61936100,65286700
55,2009-02-24,13528924,16563252,35320916,74404000,206305960,355302120,379404440
56,2009-02-25,840483440,876639120,1100146960,1604500000,1901657200,2300028400,2364470800
57,2009-02-26,1418664400,1479481200,1855439600,2696900000,3177494400,3713116800,3799761600
58,2009-02-27,1526173200,1591583600,1995938800,2900200000,3415139600,3977581200,4068564400
59,2009-02-28,1541903600,1607982800,2016472400,2929800000,3449742000,4015774000,4107338000
60,2009-03-01,1523467600,1588754800,1992348400,2894800000,3408473600,3967379200,4057790400
61,2009-03-02,115504520,118243960,135178680,170230000,389331200,675366400,721636800
62,2009-03-03,40568340,51641820,120096060,364840000,893469920,1047030240,1071870880
63,2009-03-04,6786246.4,7310867.2,10553977.6,29288000,168138400,239184800,250677600
64,2009-03-05,773540680,806775640,1012228120,1475100000,1731079600,2026961200,2074824400
65,2009-03-06,1339315200,1396849600,1752516800,2553200000,2999456000,3504832000,3586584000
66,2009-03-07,1431996000,1493508000,1873764000,2729700000,3207188000,3746836000,3834132000
67,2009-03-08,1441214000,1503122000,1885826000,2747300000,3227844800,3770865600,3858707200
68,2009-03-09,1437506800,1499256400,1880981200,2740200000,3219598400,3761204800,3848817600
69,2009-03-10,1435904000,1497592000,1878936000,2737300000,3216198000,3757206000,3844722000
70,2009-03-11,1442016000,1503968000,1886944000,2.749e+09,3229863200,3773210400,3861104800
71,2009-03-12,1441614800,1503540400,1886353200,2.748e+09,3228754000,3771938000,3859806000
72,2009-03-13,1444020000,1506060000,1889580000,2752800000,3234372800,3778481600,3866499200
73,2009-03-14,1431295200,1492789600,1872936800,2728600000,3205869600,3745191200,3832434400
74,2009-03-15,1417568000,1478464000,1854912000,2702300000,3175075200,3709174400,3795572800
75,2009-03-16,1415063200,1475853600,1851648800,2697500000,3169456400,3702630800,3788879600
76,2009-03-17,1425583600,1486822800,1865392400,2717600000,3193013600,3730159200,3817050400
77,2009-03-18,1424180800,1485358400,1863547200,2714900000,3189749600,3726351200,3813154400
78,2009-03-19,1424982400,1486195200,1864601600,2716400000,3191531600,3728405200,3815252400
79,2009-03-20,1427687600,1489014800,1868128400,2721500000,3197623200,3735530400,3822544800
80,2009-03-21,1412157600,1472824800,1847858400,2.692e+09,3162928400,3695014800,3781087600
81,2009-03-22,1405644800,1466030400,1839323200,2679600000,3148354000,3677938000,3763606000
82,2009-03-23,1403640800,1463938400,1836687200,2675800000,3143880800,3672757600,3758311200
83,2009-03-24,1400534400,1460691200,1832569600,2669700000,3136780000,3664460000,3749820000
84,2009-03-25,1405544400,1465921200,1839159600,2679400000,3148117600,3677647200,3763306400
85,2009-03-26,1397328400,1457353200,1828415600,2663600000,3129579200,3656062400,3741228800
86,2009-03-27,1394422800,1454324400,1824625200,2658200000,3123251200,3648646400,3733636800
87,2009-03-28,1404342000,1464666000,1837578000,2677100000,3145426400,3674520800,3760109600
88,2009-03-29,1383100800,1442518400,1809827200,2636700000,3097912000,3619064000,3703368000
89,2009-03-30,1374384000,1433432000,1798456000,2620100000,3078391600,3596225200,3679992400
90,2009-03-31,1394022400,1453915200,1824161600,2657500000,3122378400,3647664800,3732637600
91,2009-04-01,1389312800,1448994400,1817935200,2648400000,3111740800,3635177600,3719851200
92,2009-04-02,1387609200,1447211600,1815662800,2645100000,3107804000,3630588000,3715156000
93,2009-04-03,1379594000,1438862000,1805246000,2629900000,3090002000,3609794000,3693878000
94,2009-04-04,1385204800,1444710400,1812563200,2640600000,3102521600,3624435200,3708862400
95,2009-04-05,1395725200,1455679600,1826306800,2660600000,3126042400,3651872800,3736933600
96,2009-04-06,1400434400,1460591200,1832469600,2669600000,3136643600,3664269200,3749620400
97,2009-04-07,1385806000,1445338000,1813354000,2641700000,3103867200,3625998400,3710460800
98,2009-04-08,400852120,425978760,581307080,3724600000,7004388000,7911236000,8057932000
99,2009-04-09,790174320,817769360,988356880,1378400000,1649280400,1891958800,1931215600
100,2009-04-10,33962204,33988692,34152436,221490000,655844520,665326440,666860280
101,2009-04-11,776798440,803384120,967731960,1345300000,1613020000,1846940000,1884780000
102,2009-04-12,1344090800,1390088400,1674437200,2327800000,2791025200,3195924400,3261422800
103,2009-04-13,1437035200,1486209600,1790196800,2488700000,2983934800,3416795600,3486817200
104,2009-04-14,1430024400,1478961200,1781479600,2476500000,2969315200,3400054400,3469732800
105,2009-04-15,1428322000,1477206000,1779398000,2473700000,2965987600,3396237200,3465836400
106,2009-04-16,1438337200,1487555600,1791814800,2490900000,2986589600,3419831200,3489914400
107,2009-04-17,1447151200,1496677600,1802840800,2506200000,3004973200,3440880400,3511394800
108,2009-04-18,1453460800,1503198400,1810667200,2517100000,3018047200,3455858400,3526680800
109,2009-04-19,1455364000,1505172000,1813076000,2520500000,3022111200,3460466400,3531376800
110,2009-04-20,1451157600,1500824800,1807858400,2513200000,3013310400,3450468800,3521185600
111,2009-04-21,1447151200,1496677600,1802840800,2506200000,3004973200,3440880400,3511394800
112,2009-04-22,1445048000,1494504000,1800232000,2502600000,3000636400,3435890800,3506299600
113,2009-04-23,1432929200,1481971600,1785142800,2481600000,2975434000,3407098000,3476926000
114,2009-04-24,1427019600,1475850800,1777716400,2471300000,2963132800,3393001600,3462539200
