datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2009-01-01,0.0,0.0,2009-01-01,2009,1,1
2009-01-02,0.035112210561604434,0.035112210561604434,2009-01-02,2009,1,2
2009-01-03,0.0,0.0,2009-01-03,2009,1,3
2009-01-04,0.0,0.0,2009-01-04,2009,1,4
2009-01-05,0.0,0.0,2009-01-05,2009,1,5
2009-01-06,0.0,0.0,2009-01-06,2009,1,6
2009-01-07,0.0,0.0,2009-01-07,2009,1,7
2009-01-08,0.0,0.0,2009-01-08,2009,1,8
2009-01-09,0.0,0.0,2009-01-09,2009,1,9
2009-01-10,0.0,0.0,2009-01-10,2009,1,10
2009-01-11,0.0,0.0,2009-01-11,2009,1,11
2009-01-12,0.0,0.0,2009-01-12,2009,1,12
2009-01-13,0.0,0.0,2009-01-13,2009,1,13
2009-01-14,0.0,0.0,2009-01-14,2009,1,14
2009-01-15,0.0,0.0,2009-01-15,2009,1,15
2009-01-16,0.0,0.0,2009-01-16,2009,1,16
2009-01-17,0.0,0.0,2009-01-17,2009,1,17
2009-01-18,0.0,0.0,2009-01-18,2009,1,18
2009-01-19,0.0,0.0,2009-01-19,2009,1,19
2009-01-20,0.0,0.0,2009-01-20,2009,1,20
2009-01-21,0.01028893159720955,0.01028893159720955,2009-01-21,2009,1,21
2009-01-22,0.8105293018063071,0.8105293018063071,2009-01-22,2009,1,22
2009-01-23,0.2762479816183233,0.2762479816183233,2009-01-23,2009,1,23
2009-01-24,0.08692873706570281,0.08692873706570281,2009-01-24,2009,1,24
2009-01-25,0.017830165287125926,0.017830165287125926,2009-01-25,2009,1,25
2009-01-26,0.0,0.0,2009-01-26,2009,1,26
2009-01-27,0.0,0.0,2009-01-27,2009,1,27
2009-01-28,0.0,0.0,2009-01-28,2009,1,28
2009-01-29,0.0,0.0,2009-01-29,2009,1,29
2009-01-30,0.0,0.0,2009-01-30,2009,1,30
2009-01-31,0.0,0.0,2009-01-31,2009,1,31
2009-02-01,0.0,0.0,2009-02-01,2009,2,1
2009-02-02,0.0,0.0,2009-02-02,2009,2,2
2009-02-03,0.0,0.0,2009-02-03,2009,2,3
2009-02-04,0.0,0.0,2009-02-04,2009,2,4
2009-02-05,0.0,0.0,2009-02-05,2009,2,5
2009-02-06,0.01006005885026888,0.01006005885026888,2009-02-06,2009,2,6
2009-02-07,0.0,0.0,2009-02-07,2009,2,7
2009-02-08,0.029125976883803712,0.029125976883803712,2009-02-08,2009,2,8
2009-02-09,0.08509300445437784,0.08509300445437784,2009-02-09,2009,2,9
2009-02-10,0.0,0.0,2009-02-10,2009,2,10
2009-02-11,0.3171752258251522,0.3171752258251522,2009-02-11,2009,2,11
2009-02-12,0.02086164372756014,0.02086164372756014,2009-02-12,2009,2,12
2009-02-13,0.6949188267200912,0.6949188267200912,2009-02-13,2009,2,13
2009-02-14,0.0532446491328211,0.0532446491328211,2009-02-14,2009,2,14
2009-02-15,0.19142653456341835,0.19142653456341835,2009-02-15,2009,2,15
2009-02-16,0.41019695741838064,0.41019695741838064,2009-02-16,2009,2,16
2009-02-17,0.9240984405909453,0.9240984405909453,2009-02-17,2009,2,17
2009-02-18,0.0392557792596604,0.0392557792596604,2009-02-18,2009,2,18
2009-02-19,0.0,0.0,2009-02-19,2009,2,19
2009-02-20,0.0,0.0,2009-02-20,2009,2,20
2009-02-21,0.0,0.0,2009-02-21,2009,2,21
2009-02-22,0.7439301521089852,0.7439301521089852,2009-02-22,2009,2,22
2009-02-23,0.7916934555816314,0.7916934555816314,2009-02-23,2009,2,23
2009-02-24,0.0,0.0,2009-02-24,2009,2,24
2009-02-25,0.0,0.0,2009-02-25,2009,2,25
2009-02-26,0.08575178269228162,0.08575178269228162,2009-02-26,2009,2,26
2009-02-27,0.0,0.0,2009-02-27,2009,2,27
2009-02-28,0.0,0.0,2009-02-28,2009,2,28
2009-03-01,0.48631918182720246,0.48631918182720246,2009-03-01,2009,3,1
2009-03-02,0.6292110779401102,0.6292110779401102,2009-03-02,2009,3,2
2009-03-03,0.7367276218009361,0.7367276218009361,2009-03-03,2009,3,3
2009-03-04,0.08574977004181804,0.08574977004181804,2009-03-04,2009,3,4
2009-03-05,0.0,0.0,2009-03-05,2009,3,5
2009-03-06,0.0,0.0,2009-03-06,2009,3,6
2009-03-07,0.0,0.0,2009-03-07,2009,3,7
2009-03-08,0.0,0.0,2009-03-08,2009,3,8
2009-03-09,0.0,0.0,2009-03-09,2009,3,9
2009-03-10,0.0,0.0,2009-03-10,2009,3,10
2009-03-11,0.0,0.0,2009-03-11,2009,3,11
2009-03-12,0.0,0.0,2009-03-12,2009,3,12
2009-03-13,0.0,0.0,2009-03-13,2009,3,13
2009-03-14,0.0,0.0,2009-03-14,2009,3,14
2009-03-15,0.0,0.0,2009-03-15,2009,3,15
2009-03-16,0.0,0.0,2009-03-16,2009,3,16
2009-03-17,0.0,0.0,2009-03-17,2009,3,17
2009-03-18,0.0,0.0,2009-03-18,2009,3,18
2009-03-19,0.0,0.0,2009-03-19,2009,3,19
2009-03-20,0.0,0.0,2009-03-20,2009,3,20
2009-03-21,0.0,0.0,2009-03-21,2009,3,21
2009-03-22,0.0649641288497147,0.0649641288497147,2009-03-22,2009,3,22
2009-03-23,0.0,0.0,2009-03-23,2009,3,23
2009-03-24,0.0,0.0,2009-03-24,2009,3,24
2009-03-25,0.0,0.0,2009-03-25,2009,3,25
2009-03-26,0.0,0.0,2009-03-26,2009,3,26
2009-03-27,0.0,0.0,2009-03-27,2009,3,27
2009-03-28,0.0,0.0,2009-03-28,2009,3,28
2009-03-29,0.0,0.0,2009-03-29,2009,3,29
2009-03-30,0.0,0.0,2009-03-30,2009,3,30
2009-03-31,0.0,0.0,2009-03-31,2009,3,31
