conc_benth,date
0.0,2009-01-01
0.0,2009-01-02
0.0,2009-01-03
0.0,2009-01-04
0.0,2009-01-05
0.0,2009-01-06
0.0,2009-01-07
0.0,2009-01-08
0.0,2009-01-09
0.0,2009-01-10
0.0,2009-01-11
0.0,2009-01-12
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
846700000.0,2009-01-21
1142600000.0,2009-01-22
1123100000.0,2009-01-23
1103900000.0,2009-01-24
1086000000.0,2009-01-25
1072500000.0,2009-01-26
1068200000.0,2009-01-27
1066700000.0,2009-01-28
1065700000.0,2009-01-29
1064700000.0,2009-01-30
1063900000.0000001,2009-01-31
1063099999.9999999,2009-02-01
1062200000.0,2009-02-02
1061300000.0,2009-02-03
1060500000.0,2009-02-04
1059500000.0,2009-02-05
2632400000.0,2009-02-06
2848000000.0,2009-02-07
2989400000.0,2009-02-08
2962200000.0,2009-02-09
2921100000.0,2009-02-10
2887000000.0,2009-02-11
2838500000.0,2009-02-12
2790900000.0,2009-02-13
2742900000.0,2009-02-14
2695900000.0,2009-02-15
2648900000.0,2009-02-16
2602500000.0,2009-02-17
2557800000.0,2009-02-18
2523200000.0,2009-02-19
2512200000.0,2009-02-20
2508600000.0,2009-02-21
2485300000.0,2009-02-22
2441600000.0,2009-02-23
2405100000.0,2009-02-24
2387200000.0,2009-02-25
2363300000.0,2009-02-26
2330400000.0,2009-02-27
2320000000.0,2009-02-28
2297600000.0,2009-03-01
2257200000.0,2009-03-02
2217400000.0,2009-03-03
2178800000.0,2009-03-04
2148400000.0,2009-03-05
2138800000.0000002,2009-03-06
2135699999.9999998,2009-03-07
2133699999.9999998,2009-03-08
2131699999.9999998,2009-03-09
2129600000.0,2009-03-10
2127699999.9999998,2009-03-11
2125900000.0,2009-03-12
2124100000.0,2009-03-13
2122300000.0000002,2009-03-14
2120000000.0,2009-03-15
2117699999.9999998,2009-03-16
2115400000.0,2009-03-17
2113400000.0,2009-03-18
2111300000.0000002,2009-03-19
2109300000.0000002,2009-03-20
2367400000.0,2009-03-21
3247900000.0,2009-03-22
3222000000.0,2009-03-23
3207100000.0,2009-03-24
3201600000.0,2009-03-25
3197800000.0,2009-03-26
3193900000.0,2009-03-27
3190300000.0,2009-03-28
3186700000.0,2009-03-29
3182300000.0,2009-03-30
3178300000.0,2009-03-31
3174900000.0,2009-04-01
3171100000.0,2009-04-02
3167400000.0,2009-04-03
3163600000.0,2009-04-04
3160200000.0,2009-04-05
3157200000.0,2009-04-06
4463500000.0,2009-04-07
4396900000.0,2009-04-08
4320000000.0,2009-04-09
4244600000.0000005,2009-04-10
4184300000.0,2009-04-11
4164700000.0,2009-04-12
4157899999.9999995,2009-04-13
4152800000.0,2009-04-14
4147200000.0,2009-04-15
4142000000.0,2009-04-16
4137500000.0,2009-04-17
4133300000.0,2009-04-18
4129399999.9999995,2009-04-19
4125500000.0,2009-04-20
4121300000.0,2009-04-21
4117000000.0,2009-04-22
4112399999.9999995,2009-04-23
4107300000.0,2009-04-24
4102300000.0,2009-04-25
4097800000.0,2009-04-26
4093200000.0,2009-04-27
4088200000.0,2009-04-28
4083200000.0,2009-04-29
4078800000.0,2009-04-30
5830400000.0,2009-05-01
5732200000.0,2009-05-02
5631800000.0,2009-05-03
5538700000.0,2009-05-04
5448200000.0,2009-05-05
5369800000.0,2009-05-06
5343800000.0,2009-05-07
5333500000.0,2009-05-08
5325600000.0,2009-05-09
5318500000.0,2009-05-10
5311800000.0,2009-05-11
5305000000.0,2009-05-12
5298200000.0,2009-05-13
5291000000.0,2009-05-14
5283800000.0,2009-05-15
5276300000.0,2009-05-16
5269100000.0,2009-05-17
5262400000.0,2009-05-18
5255200000.0,2009-05-19
5247900000.0,2009-05-20
5241400000.0,2009-05-21
5234900000.0,2009-05-22
5227900000.0,2009-05-23
5220500000.0,2009-05-24
5213100000.0,2009-05-25
5205500000.0,2009-05-26
5197700000.0,2009-05-27
5190000000.0,2009-05-28
5181900000.0,2009-05-29
5173400000.0,2009-05-30
5164700000.0,2009-05-31
5155700000.0,2009-06-01
5146900000.0,2009-06-02
5926700000.0,2009-06-03
6738700000.0,2009-06-04
6654200000.0,2009-06-05
6619100000.0,2009-06-06
6604200000.0,2009-06-07
6592400000.0,2009-06-08
6580700000.0,2009-06-09
6568600000.0,2009-06-10
6556800000.0,2009-06-11
6545200000.0,2009-06-12
6533500000.0,2009-06-13
6521800000.0,2009-06-14
6510500000.0,2009-06-15
6499700000.0,2009-06-16
6489000000.0,2009-06-17
6478200000.0,2009-06-18
6467000000.0,2009-06-19
6455200000.0,2009-06-20
6443400000.0,2009-06-21
6432000000.0,2009-06-22
6420200000.0,2009-06-23
6408900000.0,2009-06-24
6397500000.0,2009-06-25
6386200000.0,2009-06-26
6375200000.0,2009-06-27
6363400000.0,2009-06-28
6351600000.0,2009-06-29
6340000000.0,2009-06-30
6328100000.0,2009-07-01
6315900000.0,2009-07-02
6303400000.0,2009-07-03
6290800000.0,2009-07-04
6277900000.0,2009-07-05
6264700000.0,2009-07-06
6251700000.0,2009-07-07
6238600000.0,2009-07-08
6225500000.0,2009-07-09
6212600000.0,2009-07-10
6199500000.0,2009-07-11
6186300000.0,2009-07-12
6172600000.0,2009-07-13
6158100000.0,2009-07-14
6144000000.0,2009-07-15
6130700000.0,2009-07-16
6117700000.0,2009-07-17
6104600000.0,2009-07-18
6091200000.0,2009-07-19
6077000000.0,2009-07-20
6062100000.0,2009-07-21
6047400000.0,2009-07-22
6033100000.0,2009-07-23
6019000000.0,2009-07-24
6004700000.0,2009-07-25
5990900000.0,2009-07-26
5977100000.0,2009-07-27
5962800000.0,2009-07-28
5948100000.0,2009-07-29
5933400000.0,2009-07-30
5918700000.0,2009-07-31
5904200000.0,2009-08-01
5889700000.0,2009-08-02
5875100000.0,2009-08-03
5860800000.0,2009-08-04
5846500000.0,2009-08-05
5831800000.0,2009-08-06
5817700000.0,2009-08-07
5804300000.0,2009-08-08
5790600000.0,2009-08-09
5777300000.0,2009-08-10
5763600000.0,2009-08-11
5749100000.0,2009-08-12
5734700000.0,2009-08-13
5720200000.0,2009-08-14
5706100000.0,2009-08-15
5692600000.0,2009-08-16
5679500000.0,2009-08-17
5666700000.0,2009-08-18
5654300000.0,2009-08-19
5641300000.0,2009-08-20
5628200000.0,2009-08-21
5615500000.0,2009-08-22
5602300000.0,2009-08-23
5588900000.0,2009-08-24
5576200000.0,2009-08-25
5564000000.0,2009-08-26
5552200000.0,2009-08-27
5540500000.0,2009-08-28
5528400000.0,2009-08-29
5515700000.0,2009-08-30
5502500000.0,2009-08-31
5489900000.0,2009-09-01
5477900000.0,2009-09-02
5466000000.0,2009-09-03
5453300000.0,2009-09-04
5440100000.0,2009-09-05
5426900000.0,2009-09-06
5414200000.0,2009-09-07
5402100000.0,2009-09-08
5390400000.0,2009-09-09
5379000000.0,2009-09-10
5367800000.0,2009-09-11
5356200000.0,2009-09-12
5343700000.0,2009-09-13
14837000000.0,2009-09-14
15723000000.0,2009-09-15
15643000000.0,2009-09-16
15603000000.0,2009-09-17
15569000000.0,2009-09-18
15537000000.0,2009-09-19
15503000000.0,2009-09-20
15470000000.0,2009-09-21
15438000000.0,2009-09-22
15406000000.0,2009-09-23
15373000000.0,2009-09-24
15341000000.0,2009-09-25
15310000000.0,2009-09-26
15277000000.0,2009-09-27
15244000000.0,2009-09-28
15209000000.0,2009-09-29
15173000000.0,2009-09-30
15138000000.0,2009-10-01
15105000000.0,2009-10-02
15075000000.0,2009-10-03
15043000000.0,2009-10-04
15013000000.0,2009-10-05
14983000000.0,2009-10-06
14954000000.0,2009-10-07
14928000000.0,2009-10-08
14901000000.0,2009-10-09
14875000000.0,2009-10-10
14849000000.0,2009-10-11
14821000000.0,2009-10-12
16107000000.0,2009-10-13
15815000000.0,2009-10-14
15581000000.0,2009-10-15
15499000000.0,2009-10-16
15465000000.0,2009-10-17
15439000000.0,2009-10-18
15319000000.0,2009-10-19
15122000000.0,2009-10-20
15051000000.0,2009-10-21
15020000000.0,2009-10-22
14996000000.0,2009-10-23
14972000000.0,2009-10-24
14948000000.0,2009-10-25
14924000000.0,2009-10-26
14899000000.0,2009-10-27
14865000000.0,2009-10-28
14835000000.0,2009-10-29
14812000000.0,2009-10-30
14792000000.0,2009-10-31
14774000000.0,2009-11-01
14756000000.0,2009-11-02
14739000000.0,2009-11-03
14721000000.0,2009-11-04
14701000000.0,2009-11-05
14682000000.0,2009-11-06
14664000000.0,2009-11-07
14644000000.0,2009-11-08
14625000000.0,2009-11-09
14609000000.0,2009-11-10
14593000000.0,2009-11-11
14882000000.0,2009-11-12
15038000000.0,2009-11-13
15041000000.0,2009-11-14
15025000000.0,2009-11-15
15009000000.0,2009-11-16
16434000000.0,2009-11-17
16500000000.0,2009-11-18
16268000000.0,2009-11-19
16074000000.0,2009-11-20
15844000000.0,2009-11-21
15770000000.0,2009-11-22
15743000000.0,2009-11-23
15724000000.0,2009-11-24
15709000000.0,2009-11-25
15695000000.0,2009-11-26
15790000000.0,2009-11-27
15755000000.0,2009-11-28
15711000000.0,2009-11-29
15688000000.0,2009-11-30
15673000000.0,2009-12-01
15660000000.0,2009-12-02
15647000000.0,2009-12-03
15634000000.0,2009-12-04
15621000000.0,2009-12-05
15607000000.0,2009-12-06
16809000000.0,2009-12-07
16576000000.0,2009-12-08
16501000000.0,2009-12-09
16477000000.0,2009-12-10
16326000000.0,2009-12-11
16040000000.0,2009-12-12
15759000000.0,2009-12-13
15506000000.0,2009-12-14
15330000000.0,2009-12-15
15272000000.0,2009-12-16
15251000000.0,2009-12-17
15237000000.0,2009-12-18
15225000000.0,2009-12-19
15213000000.0,2009-12-20
15203000000.0,2009-12-21
15135000000.0,2009-12-22
14934000000.0,2009-12-23
14869000000.0,2009-12-24
14848000000.0,2009-12-25
14835000000.0,2009-12-26
14803000000.0,2009-12-27
14597000000.0,2009-12-28
14450000000.0,2009-12-29
14224000000.0,2009-12-30
14038000000.0,2009-12-31
13910000000.0,2010-01-01
13751000000.0,2010-01-02
13698000000.0,2010-01-03
13681000000.0,2010-01-04
13670000000.0,2010-01-05
13659000000.0,2010-01-06
13649000000.0,2010-01-07
13935000000.0,2010-01-08
14044000000.0,2010-01-09
14040000000.0,2010-01-10
14030000000.0,2010-01-11
14080000000.0,2010-01-12
13835000000.0,2010-01-13
13638000000.0,2010-01-14
13575000000.0,2010-01-15
13554000000.0,2010-01-16
13428000000.0,2010-01-17
13192000000.0,2010-01-18
12961000000.0,2010-01-19
12733000000.0,2010-01-20
12509000000.0,2010-01-21
12291000000.0,2010-01-22
12079000000.0,2010-01-23
11877000000.0,2010-01-24
11676000000.0,2010-01-25
11473000000.0,2010-01-26
11312000000.0,2010-01-27
11260000000.0,2010-01-28
11180000000.0,2010-01-29
11006000000.0,2010-01-30
10858000000.0,2010-01-31
10810000000.0,2010-02-01
10795000000.0,2010-02-02
10786000000.0,2010-02-03
10689000000.0,2010-02-04
10502000000.0,2010-02-05
10319000000.0,2010-02-06
10155000000.0,2010-02-07
10010000000.0,2010-02-08
9847800000.0,2010-02-09
9709500000.0,2010-02-10
9665700000.0,2010-02-11
9651100000.0,2010-02-12
9641400000.0,2010-02-13
9633000000.0,2010-02-14
9624500000.0,2010-02-15
9615600000.0,2010-02-16
9607300000.0,2010-02-17
9599700000.0,2010-02-18
9591600000.0,2010-02-19
9583000000.0,2010-02-20
9573500000.0,2010-02-21
9563800000.0,2010-02-22
10046000000.0,2010-02-23
9874300000.0,2010-02-24
9734600000.0,2010-02-25
9617700000.0,2010-02-26
9448800000.0,2010-02-27
9314100000.0,2010-02-28
9270800000.0,2010-03-01
9181600000.0,2010-03-02
9020700000.0,2010-03-03
8871600000.0,2010-03-04
8762900000.0,2010-03-05
8727600000.0,2010-03-06
8715100000.0,2010-03-07
8705800000.0,2010-03-08
8696200000.0,2010-03-09
8693600000.0,2010-03-10
8573500000.0,2010-03-11
8472200000.000001,2010-03-12
8345200000.000001,2010-03-13
8280600000.0,2010-03-14
8258700000.000001,2010-03-15
8248900000.0,2010-03-16
8241299999.999999,2010-03-17
8232799999.999999,2010-03-18
8223500000.0,2010-03-19
8215500000.0,2010-03-20
8207900000.0,2010-03-21
8200100000.0,2010-03-22
8191800000.0,2010-03-23
8183100000.0,2010-03-24
8523100000.0,2010-03-25
8607900000.0,2010-03-26
8597100000.0,2010-03-27
8588900000.0,2010-03-28
8579700000.000001,2010-03-29
8854500000.0,2010-03-30
8868700000.0,2010-03-31
8745800000.0,2010-04-01
8693300000.0,2010-04-02
8644400000.0,2010-04-03
8562400000.0,2010-04-04
8413700000.000001,2010-04-05
8296500000.0,2010-04-06
8258700000.000001,2010-04-07
8246299999.999999,2010-04-08
8237400000.0,2010-04-09
8228200000.000001,2010-04-10
8798500000.0,2010-04-11
8646200000.0,2010-04-12
8494299999.999999,2010-04-13
8373000000.0,2010-04-14
8334299999.999999,2010-04-15
8321600000.0,2010-04-16
8312500000.0,2010-04-17
8304799999.999999,2010-04-18
8297500000.0,2010-04-19
8580299999.999999,2010-04-20
8431200000.000001,2010-04-21
8312500000.0,2010-04-22
8274200000.000001,2010-04-23
8261000000.0,2010-04-24
8251900000.0,2010-04-25
8242500000.0,2010-04-26
8166800000.0,2010-04-27
8029900000.0,2010-04-28
7917000000.0,2010-04-29
7848400000.0,2010-04-30
7823200000.0,2010-05-01
7810200000.0,2010-05-02
7798700000.0,2010-05-03
7789300000.0,2010-05-04
7779700000.0,2010-05-05
7769500000.0,2010-05-06
7759500000.0,2010-05-07
7750800000.0,2010-05-08
7741500000.0,2010-05-09
8578799999.999999,2010-05-10
8464799999.999999,2010-05-11
8424100000.0,2010-05-12
8408700000.000001,2010-05-13
8398500000.0,2010-05-14
8389700000.000001,2010-05-15
8381200000.000001,2010-05-16
8371200000.000001,2010-05-17
8360900000.0,2010-05-18
8351299999.999999,2010-05-19
8341500000.0,2010-05-20
8330700000.000001,2010-05-21
8319100000.0,2010-05-22
8308000000.0,2010-05-23
8296900000.0,2010-05-24
8639500000.0,2010-05-25
8508500000.0,2010-05-26
8375900000.0,2010-05-27
8253400000.0,2010-05-28
8203000000.0,2010-05-29
8183900000.0,2010-05-30
8172700000.0,2010-05-31
8162000000.0,2010-06-01
8151500000.0,2010-06-02
8141400000.0,2010-06-03
8131300000.0,2010-06-04
8121100000.0,2010-06-05
8111000000.0,2010-06-06
8100200000.0,2010-06-07
8089200000.0,2010-06-08
8077600000.0,2010-06-09
8065400000.0,2010-06-10
8051500000.0,2010-06-11
