conc_h20,date
0.0,2009-01-01
0.0,2009-01-02
0.0,2009-01-03
0.0,2009-01-04
0.0,2009-01-05
0.0,2009-01-06
0.0,2009-01-07
0.0,2009-01-08
0.0,2009-01-09
0.0,2009-01-10
0.0,2009-01-11
0.0,2009-01-12
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
0.0,2009-01-21
367650000000.0,2009-01-22
3334000000.0,2009-01-23
104320000.0,2009-01-24
10840000000.0,2009-01-25
3464600000.0,2009-01-26
5546400000.0,2009-01-27
5867000000.0,2009-01-28
5909000000.0,2009-01-29
5969500000.0,2009-01-30
5975300000.0,2009-01-31
5945700000.0,2009-02-01
5951400000.0,2009-02-02
5952200000.0,2009-02-03
5946400000.0,2009-02-04
5903600000.0,2009-02-05
5900700000.0,2009-02-06
5883700000.0,2009-02-07
5874800000.0,2009-02-08
11403000000.0,2009-02-09
3160300000.0,2009-02-10
95191000000.0,2009-02-11
1117900000.0,2009-02-12
3954700000.0,2009-02-13
154550000.0,2009-02-14
3664800000.0,2009-02-15
235540000.0,2009-02-16
118090000.0,2009-02-17
55068000.00000001,2009-02-18
3545900000.0,2009-02-19
6117400000.0,2009-02-20
6539100000.0,2009-02-21
6494400000.0,2009-02-22
16535999.999999998,2009-02-23
847320000.0,2009-02-24
3789300000.0,2009-02-25
5886400000.0,2009-02-26
6281100000.0,2009-02-27
6337600000.0,2009-02-28
6260500000.0,2009-03-01
1476200000.0,2009-03-02
765800000.0,2009-03-03
148450000.0,2009-03-04
3212300000.0,2009-03-05
5525300000.0,2009-03-06
5904000000.0,2009-03-07
5941400000.0,2009-03-08
5926000000.0,2009-03-09
5919800000.0,2009-03-10
5944900000.0,2009-03-11
5942900000.0,2009-03-12
5953300000.0,2009-03-13
5900800000.0,2009-03-14
5844100000.0,2009-03-15
5833700000.0,2009-03-16
5877100000.0,2009-03-17
5871200000.0,2009-03-18
5874500000.0,2009-03-19
5885600000.0,2009-03-20
5821800000.0,2009-03-21
5795000000.0,2009-03-22
5786700000.0,2009-03-23
5773600000.0,2009-03-24
5794500000.0,2009-03-25
5760400000.0,2009-03-26
5748700000.0,2009-03-27
5789500000.0,2009-03-28
5702100000.0,2009-03-29
5666200000.0,2009-03-30
5747100000.0,2009-03-31
5727500000.0,2009-04-01
5720300000.0,2009-04-02
5687400000.0,2009-04-03
5710700000.0,2009-04-04
5753900000.0,2009-04-05
5773400000.0,2009-04-06
5713000000.0,2009-04-07
269640000.0,2009-04-08
2974800000.0,2009-04-09
61946999.99999999,2009-04-10
2906900000.0,2009-04-11
5017600000.0,2009-04-12
5363200000.0,2009-04-13
5336800000.0,2009-04-14
5330700000.0,2009-04-15
5367800000.0,2009-04-16
5400800000.0,2009-04-17
5424300000.0,2009-04-18
5431600000.0,2009-04-19
5415800000.0,2009-04-20
5400900000.0,2009-04-21
5393000000.0,2009-04-22
5347700000.0,2009-04-23
5325600000.0,2009-04-24
5344400000.0,2009-04-25
5365200000.0,2009-04-26
5329100000.0,2009-04-27
5297200000.0,2009-04-28
5314600000.0,2009-04-29
5360700000.0,2009-04-30
5289800000.0,2009-05-01
104300000.0,2009-05-02
2758000000.0,2009-05-03
4707100000.0,2009-05-04
3503800000.0,2009-05-05
2712900000.0,2009-05-06
4650700000.0,2009-05-07
4942700000.0,2009-05-08
4996600000.0,2009-05-09
5026900000.0,2009-05-10
5032100000.0,2009-05-11
5028500000.0,2009-05-12
5001600000.0,2009-05-13
4997100000.0,2009-05-14
4981900000.0,2009-05-15
4977400000.0,2009-05-16
5021400000.0,2009-05-17
5013400000.0,2009-05-18
4969700000.0,2009-05-19
4999400000.0,2009-05-20
5018700000.0,2009-05-21
4992900000.0,2009-05-22
4959600000.0,2009-05-23
4945900000.0,2009-05-24
4940900000.0,2009-05-25
4925900000.0,2009-05-26
4930700000.0,2009-05-27
4924900000.0,2009-05-28
4894300000.0,2009-05-29
4880900000.0,2009-05-30
4867900000.0,2009-05-31
4850400000.0,2009-06-01
4876200000.0,2009-06-02
4876200000.0,2009-06-03
4836400000.0,2009-06-04
4813700000.0,2009-06-05
4835100000.0,2009-06-06
4840800000.0,2009-06-07
4816100000.0,2009-06-08
4780800000.0,2009-06-09
4769100000.0,2009-06-10
4774200000.0,2009-06-11
4769900000.0,2009-06-12
4752300000.0,2009-06-13
4754600000.0,2009-06-14
4765500000.0,2009-06-15
4763400000.0,2009-06-16
4755000000.0,2009-06-17
4737400000.0,2009-06-18
4711100000.0,2009-06-19
4682300000.0,2009-06-20
4700300000.0,2009-06-21
4678000000.0,2009-06-22
4686200000.0,2009-06-23
4692400000.0,2009-06-24
4671500000.0,2009-06-25
4688100000.0,2009-06-26
4663200000.0,2009-06-27
4639700000.0,2009-06-28
4655000000.0,2009-06-29
4646300000.0,2009-06-30
4625200000.0,2009-07-01
4609300000.0,2009-07-02
4597600000.0,2009-07-03
4588400000.0,2009-07-04
4562400000.0,2009-07-05
4562300000.0,2009-07-06
4550700000.0,2009-07-07
4544600000.0,2009-07-08
4546100000.0,2009-07-09
4536500000.0,2009-07-10
4524800000.0,2009-07-11
4513100000.0,2009-07-12
4463200000.0,2009-07-13
4453700000.0,2009-07-14
4491800000.0,2009-07-15
4507000000.0,2009-07-16
4508600000.0,2009-07-17
4494400000.0,2009-07-18
4465600000.0,2009-07-19
4417800000.0,2009-07-20
4405100000.0,2009-07-21
4417700000.0,2009-07-22
4424000000.0,2009-07-23
4396200000.0,2009-07-24
4399200000.0,2009-07-25
4406000000.0,2009-07-26
4381700000.0,2009-07-27
4337900000.0,2009-07-28
4314600000.0,2009-07-29
4302400000.0,2009-07-30
4297000000.0,2009-07-31
4288000000.0,2009-08-01
4266100000.0000005,2009-08-02
4261100000.0000005,2009-08-03
4259899999.9999995,2009-08-04
4227800000.0,2009-08-05
4220300000.0,2009-08-06
4252200000.0,2009-08-07
4231399999.9999995,2009-08-08
4237800000.0,2009-08-09
4239300000.0,2009-08-10
4183899999.9999995,2009-08-11
4170899999.9999995,2009-08-12
4150600000.0000005,2009-08-13
4140600000.0000005,2009-08-14
4152800000.0,2009-08-15
4159500000.0,2009-08-16
4149100000.0000005,2009-08-17
4161700000.0,2009-08-18
4134899999.9999995,2009-08-19
4096399999.9999995,2009-08-20
4112600000.0000005,2009-08-21
4091900000.0,2009-08-22
4053600000.0,2009-08-23
4059800000.0,2009-08-24
4070400000.0,2009-08-25
4075700000.0,2009-08-26
4081200000.0,2009-08-27
4052100000.0,2009-08-28
4031500000.0,2009-08-29
3982800000.0,2009-08-30
3975100000.0,2009-08-31
4007100000.0,2009-09-01
4015000000.0,2009-09-02
3989800000.0,2009-09-03
3946300000.0,2009-09-04
3926900000.0,2009-09-05
3925800000.0,2009-09-06
3941500000.0,2009-09-07
3951400000.0,2009-09-08
3944200000.0,2009-09-09
3956900000.0,2009-09-10
3944300000.0,2009-09-11
3896700000.0,2009-09-12
3853500000.0,2009-09-13
3869500000.0,2009-09-14
3888900000.0,2009-09-15
3882500000.0,2009-09-16
3887100000.0,2009-09-17
3897200000.0,2009-09-18
3838700000.0,2009-09-19
3849200000.0,2009-09-20
3850500000.0,2009-09-21
3844900000.0,2009-09-22
3843700000.0,2009-09-23
3827800000.0,2009-09-24
3844400000.0,2009-09-25
3819100000.0,2009-09-26
3807700000.0,2009-09-27
3747700000.0,2009-09-28
3719400000.0,2009-09-29
3705700000.0,2009-09-30
3730000000.0,2009-10-01
3760000000.0,2009-10-02
3717700000.0,2009-10-03
3710600000.0,2009-10-04
3708100000.0,2009-10-05
3711800000.0,2009-10-06
3734200000.0,2009-10-07
3733300000.0,2009-10-08
3716400000.0,2009-10-09
3702900000.0,2009-10-10
3680600000.0,2009-10-11
3643300000.0,2009-10-12
3324200000.0,2009-10-13
79546000.0,2009-10-14
1940800000.0,2009-10-15
3299800000.0,2009-10-16
3524500000.0,2009-10-17
3532300000.0,2009-10-18
3533300000.0,2009-10-19
3528100000.0,2009-10-20
3537300000.0,2009-10-21
3527800000.0,2009-10-22
3514300000.0,2009-10-23
3500400000.0,2009-10-24
3470200000.0,2009-10-25
3488100000.0,2009-10-26
3350600000.0,2009-10-27
3310700000.0,2009-10-28
3398300000.0,2009-10-29
3466200000.0,2009-10-30
3497200000.0,2009-10-31
3492100000.0,2009-11-01
3491500000.0,2009-11-02
3495000000.0,2009-11-03
3478000000.0,2009-11-04
3447400000.0,2009-11-05
3473100000.0,2009-11-06
3455600000.0,2009-11-07
3432600000.0,2009-11-08
3467900000.0,2009-11-09
3477500000.0,2009-11-10
3456900000.0,2009-11-11
3421600000.0,2009-11-12
3409400000.0,2009-11-13
3397700000.0,2009-11-14
3426600000.0,2009-11-15
3432900000.0,2009-11-16
3419500000.0,2009-11-17
137780000000.0,2009-11-18
3003900000.0,2009-11-19
5100400000.0,2009-11-20
5459000000.0,2009-11-21
5565100000.0,2009-11-22
5524400000.0,2009-11-23
5543800000.0,2009-11-24
5602100000.0,2009-11-25
5569200000.0,2009-11-26
5536600000.0,2009-11-27
5302600000.0,2009-11-28
5318600000.0,2009-11-29
5494900000.0,2009-11-30
5559200000.0,2009-12-01
5546500000.0,2009-12-02
5525100000.0,2009-12-03
5536900000.0,2009-12-04
5517000000.0,2009-12-05
5455900000.0,2009-12-06
1441000000000.0,2009-12-07
16077000000.0,2009-12-08
26934000000.0,2009-12-09
28744000000.0,2009-12-10
28797000000.0,2009-12-11
90637000.0,2009-12-12
89172000.00000001,2009-12-13
1498900000.0,2009-12-14
14903000000.0,2009-12-15
25036000000.0,2009-12-16
26838000000.0,2009-12-17
27139000000.0,2009-12-18
27235000000.0,2009-12-19
27122000000.0,2009-12-20
26977000000.0,2009-12-21
94358000000.0,2009-12-22
14862000000.0,2009-12-23
25683000000.0,2009-12-24
27600000000.0,2009-12-25
27805000000.0,2009-12-26
27795000000.0,2009-12-27
27851000000.0,2009-12-28
27897000000.0,2009-12-29
6405300000.0,2009-12-30
14689000000.0,2009-12-31
24910000000.0,2010-01-01
26611000000.0,2010-01-02
27020000000.0,2010-01-03
27194000000.0,2010-01-04
27134000000.0,2010-01-05
27060000000.0,2010-01-06
27026000000.0,2010-01-07
27010000000.0,2010-01-08
27038000000.0,2010-01-09
27071000000.0,2010-01-10
26851000000.0,2010-01-11
26424000000.0,2010-01-12
464340000.0,2010-01-13
13891000000.0,2010-01-14
23965000000.0,2010-01-15
25614000000.0,2010-01-16
25667000000.0,2010-01-17
2378800000.0,2010-01-18
6557300000.0,2010-01-19
341250000.0,2010-01-20
13139000000.0,2010-01-21
88327999.99999999,2010-01-22
12711000000.0,2010-01-23
21873000000.0,2010-01-24
23109000000.0,2010-01-25
280020000.0,2010-01-26
12353000000.0,2010-01-27
21404000000.0,2010-01-28
22881000000.0,2010-01-29
13513000000.0,2010-01-30
12190000000.0,2010-01-31
21004000000.0,2010-02-01
22558000000.0,2010-02-02
22835000000.0,2010-02-03
22386000000.0,2010-02-04
194660000.0,2010-02-05
11669000000.0,2010-02-06
1789700000.0,2010-02-07
11949000000.0,2010-02-08
8351500000.0,2010-02-09
11340000000.0,2010-02-10
19415000000.0,2010-02-11
20740000000.0,2010-02-12
21006000000.0,2010-02-13
21037000000.0,2010-02-14
20961000000.0,2010-02-15
20941000000.0,2010-02-16
21068000000.0,2010-02-17
21052000000.0,2010-02-18
20983000000.0,2010-02-19
20845000000.0,2010-02-20
20759000000.0,2010-02-21
20761000000.0,2010-02-22
20540000000.0,2010-02-23
286090000.0,2010-02-24
10843000000.0,2010-02-25
18342000000.0,2010-02-26
1050400000.0000001,2010-02-27
10752000000.0,2010-02-28
18087000000.0,2010-03-01
19162000000.0,2010-03-02
927130000.0,2010-03-03
340590000.0,2010-03-04
10148000000.0,2010-03-05
17336000000.0,2010-03-06
18526000000.0,2010-03-07
18547000000.0,2010-03-08
18564000000.0,2010-03-09
481460000000.0,2010-03-10
20074000000.0,2010-03-11
25008000000.0,2010-03-12
4188700000.0,2010-03-13
14874000000.0,2010-03-14
23764000000.0,2010-03-15
25329000000.0,2010-03-16
25471000000.0,2010-03-17
25194000000.0,2010-03-18
25289000000.0,2010-03-19
25438000000.0,2010-03-20
25435000000.0,2010-03-21
25321000000.0,2010-03-22
25216000000.0,2010-03-23
25162000000.0,2010-03-24
946740000000.0,2010-03-25
22465000000.0,2010-03-26
37353000000.0,2010-03-27
39611000000.0,2010-03-28
39606000000.0,2010-03-29
39143000000.0,2010-03-30
39316000000.0,2010-03-31
39929000000.0,2010-04-01
39716000000.0,2010-04-02
39664000000.0,2010-04-03
39041000000.0,2010-04-04
284990000.0,2010-04-05
20586000000.0,2010-04-06
35702000000.0,2010-04-07
38257000000.0,2010-04-08
38386000000.0,2010-04-09
38173000000.0,2010-04-10
37385000000.0,2010-04-11
1952500000.0,2010-04-12
947460000.0,2010-04-13
19838000000.0,2010-04-14
34144000000.0,2010-04-15
36332000000.0,2010-04-16
36708000000.0,2010-04-17
37000000000.0,2010-04-18
36742000000.0,2010-04-19
36157000000.0,2010-04-20
4054400000.0,2010-04-21
20198000000.0,2010-04-22
33053000000.0,2010-04-23
35228000000.0,2010-04-24
35373000000.0,2010-04-25
35287000000.0,2010-04-26
34983000000.0,2010-04-27
34891000000.0,2010-04-28
5294700000.0,2010-04-29
19278000000.0,2010-04-30
31541000000.0,2010-05-01
33228000000.0,2010-05-02
33874000000.0,2010-05-03
34096000000.0,2010-05-04
33922000000.0,2010-05-05
33739000000.0,2010-05-06
34055000000.0,2010-05-07
34072000000.0,2010-05-08
33826000000.0,2010-05-09
33579000000.0,2010-05-10
33739000000.0,2010-05-11
33724000000.0,2010-05-12
33849000000.0,2010-05-13
34046000000.0,2010-05-14
34210000000.0,2010-05-15
33958000000.0,2010-05-16
33600000000.0,2010-05-17
33726000000.0,2010-05-18
33747000000.0,2010-05-19
33592000000.0,2010-05-20
33242000000.0,2010-05-21
33239000000.0,2010-05-22
33201000000.0,2010-05-23
33228000000.0,2010-05-24
33197000000.0,2010-05-25
6047200000.0,2010-05-26
33035000000.0,2010-05-27
8938300000.0,2010-05-28
19870000000.0,2010-05-29
30096000000.0,2010-05-30
31702000000.0,2010-05-31
31865000000.0,2010-06-01
31955000000.0,2010-06-02
31964000000.0,2010-06-03
31931000000.0,2010-06-04
31995000000.0,2010-06-05
31838000000.0,2010-06-06
31751000000.0,2010-06-07
31645000000.0,2010-06-08
31448000000.0,2010-06-09
31348000000.0,2010-06-10
30338000000.0,2010-06-11
30333000000.0,2010-06-12
30972000000.0,2010-06-13
31233000000.0,2010-06-14
31184000000.0,2010-06-15
