datetime,subcatchment_S65_Runoff_rate,subcatchment_S69_Runoff_rate,subcatchment_S72_Runoff_rate,subcatchment_S73_Runoff_rate,subcatchment_S80_Runoff_rate,subcatchment_S81_Runoff_rate,subcatchment_S83_Runoff_rate,subcatchment_S88_Runoff_rate,subcatchment_S90_Runoff_rate,subcatchment_S100_Runoff_rate,subcatchment_S104_Runoff_rate,subcatchment_S105_Runoff_rate,subcatchment_S106_Runoff_rate,subcatchment_S107_Runoff_rate,subcatchment_S109_Runoff_rate,subcatchment_S110_Runoff_rate,subcatchment_S111_Runoff_rate,subcatchment_S112_Runoff_rate,subcatchment_S113_Runoff_rate,runf_sum,date,year,month,day
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-01,2009,1,1
2009-01-02,0.0,0.01318475479061791,0.03069376526446078,0.02754226129994581,0.02583259776073387,0.05949437234312829,0.042187625738473865,0.041828645034368186,0.02801852686352968,0.015819790125429445,0.022106219198191297,0.04935136377608669,0.04613399204414558,0.010765702158343887,0.04180807625860933,0.03532461104864186,0.05913087311106715,0.03652112676657424,0.039010114464807205,0.6247544180471551,2009-01-02,2009,1,2
2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-03,2009,1,3
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-04,2009,1,4
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-05,2009,1,5
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-06,2009,1,6
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-07,2009,1,7
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-08,2009,1,8
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-09,2009,1,9
2009-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-10,2009,1,10
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-11,2009,1,11
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-12,2009,1,12
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-13,2009,1,13
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-14,2009,1,14
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-15,2009,1,15
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-16,2009,1,16
2009-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-17,2009,1,17
2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-18,2009,1,18
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-19,2009,1,19
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-20,2009,1,20
2009-01-21,0.0,0.0,0.005733399642962,0.0066562088784446255,0.006005147732253231,0.0172287782962943,0.007370982264695921,0.010733875854721202,0.006308387779312103,0.002703590861380686,0.0,0.014179384680703596,0.01086902450827355,0.0,0.010910029937428364,0.006742677922390602,0.017463580537089674,0.010435186781494545,0.010213876265612683,0.14355413194305708,2009-01-21,2009,1,21
2009-01-22,0.0,0.2872404627662269,0.8466655982238934,0.5949499025648234,0.6677993417140587,1.0120558309347822,1.104266034428198,1.0312885467043351,0.5248155850763871,0.43100337387548776,0.8180275151807574,1.2572847007463293,1.172190723031059,0.26584929902663784,1.003432452880248,0.9171982553138455,1.063106635742435,0.8950677370395825,0.9289964195963595,14.821238414845446,2009-01-22,2009,1,22
2009-01-23,0.0,0.09887346666958502,0.2647527288054453,0.21249173087819379,0.226143309705178,0.3772886634926122,0.3454260518366235,0.3350821118641317,0.18970992211964768,0.15227713453158626,0.24020022368535432,0.397186781754124,0.3706702160382151,0.08965642207540331,0.32917806064704364,0.29270540343158186,0.3905835920184456,0.29874115696186715,0.30611839431047044,4.917085370825508,2009-01-23,2009,1,23
2009-01-24,0.0,0.014781687198449366,0.12087070710565269,0.05131295281313395,0.07047020839120087,0.09190887601766436,0.16040055739204678,0.13374130700663092,0.04292473725366334,0.030133647178198723,0.13522771218445237,0.17824917751331026,0.16578176385469595,0.012444234321805588,0.12466381279367986,0.12451031318217382,0.10095106986317523,0.1027932526446585,0.11281725830630478,1.7739832750208973,2009-01-24,2009,1,24
2009-01-25,0.0,0.004476883399097227,0.0149104177509543,0.013514377321558187,0.012203329009297041,0.03285740935077671,0.02502315769030987,0.02520336542265136,0.010214922517136004,0.00798052478316848,0.012955090163364732,0.03409246176519419,0.0270214151027547,0.003347809565137514,0.02253634658394942,0.016920713982458622,0.03278042789076804,0.018555416842238593,0.0185544781634923,0.3331485473043073,2009-01-25,2009,1,25
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-26,2009,1,26
2009-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-27,2009,1,27
2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-28,2009,1,28
2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-29,2009,1,29
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-30,2009,1,30
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-31,2009,1,31
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-01,2009,2,1
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-02,2009,2,2
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-03,2009,2,3
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-04,2009,2,4
2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0027856250418111968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027856250418111968,2009-02-05,2009,2,5
2009-02-06,0.0,0.0,0.0054053811778754296,0.009237953776186665,0.0057685360908200315,0.027973329020213288,0.01218775440954139,0.01312414943510043,0.006339441667895835,0.0027687969173752426,0.0,0.014336153463734975,0.013409724425342925,0.0,0.01321390317963159,0.006316156748855308,0.027148138281332654,0.010172114910194494,0.009981526791203212,0.17738306029530346,2009-02-06,2009,2,6
2009-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-07,2009,2,7
2009-02-08,0.0,0.017758481387391886,0.019413988465334854,0.028016074296106506,0.023073357159776757,0.0658406413236897,0.024906675057451817,0.028902436204017987,0.027011960879330738,0.02110817358301231,0.014013257029345179,0.029831070726511862,0.027953562074777293,0.014531305989672368,0.02962637267503598,0.023361228300646537,0.06351787740594922,0.02879283773991949,0.027786628713103334,0.5154459290110738,2009-02-08,2009,2,8
2009-02-09,0.0,0.02205731357754148,0.09761980854135613,0.058548040773934135,0.07032074097543208,0.09095028236995623,0.1331720589629967,0.11882233429749196,0.04857990672299487,0.038001857677042915,0.09702946700453684,0.1542146814537108,0.14124994012730002,0.02117184264864451,0.11520884598662955,0.10598472105670756,0.10008600032814503,0.10005926821392853,0.10437057243421548,1.6174476831525646,2009-02-09,2009,2,9
2009-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-10,2009,2,10
2009-02-11,0.0,0.10924455482780956,0.3254144462986926,0.23730853899583873,0.26008385375028004,0.40823146417387296,0.4304160920116179,0.4056155263516672,0.20712646228359605,0.16671821754364388,0.3054356142783501,0.4927259448326556,0.45962026016609764,0.10207852321642219,0.39668793796816876,0.3570647913278723,0.43075750464569057,0.3506196519162792,0.36370224233684717,5.808851626925403,2009-02-11,2009,2,11
2009-02-12,0.0,0.004883697187626272,0.03870250653816612,0.009841691007304714,0.015032736910943627,0.028672497843398936,0.05331428381155838,0.04100769370976424,0.009288497036218469,0.005145300384551651,0.0487513109535998,0.05847023853405555,0.054311357945533954,0.0036540726053669354,0.03613621423036184,0.03887984283656211,0.027822594735192756,0.028811962502501273,0.030986443510774106,0.5337129422834807,2009-02-12,2009,2,12
2009-02-13,0.0,0.24552073468368407,0.7073812272062342,0.5129489538604501,0.5717131702049991,0.884012431654836,0.9171352534590329,0.8702644232142571,0.45403402213308997,0.3721856897376263,0.6685847794060125,1.047230973419343,0.9766355260096201,0.23183438479838292,0.8489084624493068,0.7703975964180747,0.9269217552640259,0.7619618008109024,0.7883392402276616,12.55601042495754,2009-02-13,2009,2,13
2009-02-14,0.0,0.005091213394311506,0.07927143627370307,0.030547893524179737,0.042457957347128636,0.046776611868332534,0.10945745726298349,0.08634321074257964,0.023763759883523562,0.01985554925655281,0.09415162323741204,0.12389790011684866,0.115179000636964,0.004244646992688233,0.07901424057499419,0.0810520655447002,0.05067336624324348,0.06499596649748911,0.07291097070317061,1.1296848701008055,2009-02-14,2009,2,14
2009-02-15,0.0,0.05696241474510915,0.18671091233898646,0.14601144524751394,0.15691429841308902,0.2592507005795608,0.2418075594233787,0.2342743522423717,0.1276768170089271,0.10418426353523992,0.17157113473642713,0.2803935520101982,0.2616239388196932,0.04690554804056368,0.22967325006555084,0.20546597224006893,0.2691106663483907,0.207788604123023,0.21349853134989383,3.3998239612679866,2009-02-15,2009,2,15
2009-02-16,0.0,0.13944216816940075,0.4240019254044899,0.2989447324199253,0.33517334456476783,0.5159419989394632,0.5499259166195152,0.5187899765031907,0.26095497084614505,0.21087265856860138,0.4051753601891783,0.6269384172546137,0.5845866327496835,0.12940475474464513,0.5055125701067682,0.4603386590643161,0.5437345218193413,0.45309098538409875,0.46935132215496483,7.432180915503108,2009-02-16,2009,2,16
2009-02-17,0.05096809305490431,0.329171076177121,0.9615202844916684,0.6798913885051684,0.7616902070515856,1.1599678078001598,1.2472677148336655,1.1711884306574352,0.5953423029515396,0.48592591448813105,0.9203364742279022,1.4207115629449543,1.3246292204589045,0.30179972860460746,1.1394455766207472,1.0418056131321831,1.2149887187084718,1.0185007958550958,1.0576054237831076,16.882756334347352,2009-02-17,2009,2,17
2009-02-18,0.0,0.005059002559159573,0.07467526523882917,0.020114833772594768,0.031243156477716777,0.029086831179262758,0.10085475484784794,0.07403277648448811,0.014499681063982512,0.012164952761310379,0.10124443814582453,0.10901803944036978,0.10111183931658523,0.0073931091385810955,0.0658419945986776,0.07263706742714612,0.032282554233528056,0.047639845507766045,0.055701287767638885,0.9546014299613093,2009-02-18,2009,2,18
2009-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-19,2009,2,19
2009-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-20,2009,2,20
2009-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-21,2009,2,21
2009-02-22,0.0,0.279581540344363,0.7449443477859738,0.5601290713880809,0.6111794005296407,0.9750953904000872,0.9653831515189103,0.923651340410624,0.4970936782165513,0.4068340460460103,0.6944537253456098,1.1046298367070093,1.030375566898155,0.25817288268026345,0.9026709783889356,0.8147421008698136,1.0139542646372666,0.8125978051500855,0.8385752265230979,13.434064353840478,2009-02-22,2009,2,22
2009-02-23,0.011112731347574914,0.2708073129521019,0.8602468153179652,0.567996192113189,0.6518024849108526,0.9522658124276148,1.117163230188609,1.0284312928718542,0.4964696648687615,0.4082827092246857,0.8496775775160058,1.2662324845139339,1.1800073306491232,0.2530688667315451,0.9960901405157684,0.9227073103762253,1.0043534857117558,0.8819629194491585,0.9237230678409437,14.642401429527668,2009-02-23,2009,2,23
2009-02-24,0.0,0.0,0.006192246665827184,0.0,0.0,0.0,0.01093965730652902,0.002659752995131733,0.0,0.0,0.016852810226228757,0.01108449446010604,0.007715632987433502,0.0,0.0,0.0030151652590870476,0.0,0.0,0.0,0.058459759900343286,2009-02-24,2009,2,24
2009-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-25,2009,2,25
