Date,DailyTotal_kgm2
2009-01-01 00,0.0000
2009-01-02 00,3.5240
2009-01-03 00,0.0000
2009-01-04 00,0.0000
2009-01-05 00,0.5060
2009-01-06 00,0.0000
2009-01-07 00,0.0000
2009-01-08 00,0.0000
2009-01-09 00,0.0000
2009-01-10 00,0.0000
2009-01-11 00,0.0000
2009-01-12 00,0.0000
2009-01-13 00,0.0000
2009-01-14 00,0.0000
2009-01-15 00,0.0000
2009-01-16 00,0.0000
2009-01-17 00,0.0000
2009-01-18 00,0.0000
2009-01-19 00,0.0000
2009-01-20 00,0.0000
2009-01-21 00,3.0820
2009-01-22 00,22.0260
2009-01-23 00,8.8050
2009-01-24 00,2.3160
2009-01-25 00,0.8300
2009-01-26 00,0.0000
2009-01-27 00,0.0000
2009-01-28 00,0.0000
2009-01-29 00,0.0000
2009-01-30 00,0.0000
2009-01-31 00,0.0000
2009-02-01 00,0.0000
2009-02-02 00,0.0000
2009-02-03 00,0.0000
2009-02-04 00,0.0000
2009-02-05 00,1.6400
2009-02-06 00,2.3960
2009-02-07 00,0.0000
2009-02-08 00,3.1850
2009-02-09 00,1.6170
2009-02-10 00,1.2010
2009-02-11 00,9.3740
2009-02-12 00,0.7670
2009-02-13 00,20.2050
2009-02-14 00,1.8020
2009-02-15 00,6.3970
2009-02-16 00,11.8400
2009-02-17 00,25.7480
2009-02-18 00,0.3900
2009-02-19 00,0.0000
2009-02-20 00,0.0000
2009-02-21 00,0.3940
2009-02-22 00,26.0830
2009-02-23 00,17.9480
2009-02-24 00,0.0000
2009-02-25 00,0.4950
2009-02-26 00,3.4660
2009-02-27 00,0.0000
2009-02-28 00,0.0010
2009-03-01 00,15.5640
2009-03-02 00,19.1270
2009-03-03 00,20.7100
2009-03-04 00,2.7580
2009-03-05 00,0.0190
2009-03-06 00,0.0000
2009-03-07 00,0.0000
2009-03-08 00,0.0000
2009-03-09 00,0.0000
2009-03-10 00,0.0000
2009-03-11 00,0.0000
2009-03-12 00,0.0000
2009-03-13 00,0.0000
2009-03-14 00,0.0000
2009-03-15 00,0.9740
2009-03-16 00,0.0950
2009-03-17 00,0.0000
2009-03-18 00,0.0000
2009-03-19 00,0.0000
2009-03-20 00,0.0000
2009-03-21 00,2.0570
2009-03-22 00,3.9490
2009-03-23 00,0.0000
2009-03-24 00,0.0000
2009-03-25 00,0.0000
2009-03-26 00,0.0000
2009-03-27 00,0.0000
2009-03-28 00,0.0000
2009-03-29 00,0.0000
2009-03-30 00,0.0000
2009-03-31 00,0.0000
2009-04-01 00,0.0000
2009-04-02 00,0.0090
2009-04-03 00,0.0000
2009-04-04 00,0.0000
2009-04-05 00,0.0000
2009-04-06 00,0.0000
