date,v,u,velocity,direction
2009-01-01 00,-1.03E+00,3.05E-01,1.58E+00,2.27E+02
2009-01-02 00,3.12E+00,6.67E-01,3.45E+00,2.01E+02
2009-01-03 00,-3.88E+00,1.11E+00,4.05E+00,3.44E+02
2009-01-04 00,-2.07E-01,-2.56E-01,1.11E+00,2.00E+02
2009-01-05 00,1.33E-01,-6.92E-01,1.74E+00,1.42E+02
2009-01-06 00,-2.57E+00,8.86E-01,2.79E+00,3.40E+02
2009-01-07 00,-6.07E-01,6.63E-01,1.20E+00,2.93E+02
2009-01-08 00,-1.54E+00,2.32E-01,3.29E+00,2.62E+02
2009-01-09 00,-6.18E+00,1.00E+00,6.27E+00,3.51E+02
2009-01-10 00,-2.56E+00,2.93E-01,2.64E+00,3.28E+02
2009-01-11 00,-4.71E+00,6.88E-01,4.77E+00,3.36E+02
2009-01-12 00,-5.45E+00,3.11E-01,5.47E+00,2.52E+02
2009-01-13 00,-2.58E+00,-2.57E-01,2.62E+00,1.25E+02
2009-01-14 00,-1.45E+00,-1.67E-01,1.52E+00,1.24E+02
2009-01-15 00,-3.49E+00,-1.43E-01,3.51E+00,1.67E+02
2009-01-16 00,-1.59E+00,-3.73E-01,1.72E+00,1.41E+02
2009-01-17 00,-5.21E-01,-8.15E-01,1.14E+00,5.03E+01
2009-01-18 00,-1.02E+00,-1.10E+00,1.87E+00,8.91E+01
2009-01-19 00,-2.25E+00,-8.10E-01,2.43E+00,1.98E+01
2009-01-20 00,-1.73E+00,-1.06E+00,2.07E+00,3.14E+01
2009-01-21 00,1.88E-02,-1.05E+00,1.91E+00,9.46E+01
2009-01-22 00,1.98E+00,-9.60E-01,2.46E+00,1.49E+02
2009-01-23 00,2.06E-01,-8.40E-01,2.04E+00,1.46E+02
2009-01-24 00,3.54E+00,-3.95E-01,3.61E+00,1.74E+02
2009-01-25 00,2.25E+00,7.23E-01,2.59E+00,2.08E+02
2009-01-26 00,-3.16E+00,8.37E-01,3.36E+00,3.11E+02
2009-01-27 00,-1.67E+00,3.25E-01,1.98E+00,2.60E+02
2009-01-28 00,-4.35E+00,9.46E-01,4.48E+00,3.45E+02
2009-01-29 00,-3.22E+00,2.85E-01,3.28E+00,2.37E+02
2009-01-30 00,-6.19E-01,-4.17E-01,8.54E-01,9.31E+01
2009-01-31 00,-1.90E+00,3.75E-01,2.15E+00,2.14E+02
2009-02-01 00,-2.37E+00,8.60E-01,2.81E+00,3.03E+02
2009-02-02 00,-2.06E-01,-1.42E+00,1.66E+00,7.27E+01
2009-02-03 00,9.15E-01,-1.56E+00,1.86E+00,1.18E+02
2009-02-04 00,9.13E-01,-1.38E+00,1.86E+00,1.26E+02
2009-02-05 00,3.71E+00,-1.12E-01,3.97E+00,1.82E+02
2009-02-06 00,1.52E+00,-1.20E+00,2.59E+00,1.18E+02
2009-02-07 00,-3.78E+00,6.22E-01,3.89E+00,3.08E+02
2009-02-08 00,2.06E+00,1.39E+00,3.33E+00,2.29E+02
2009-02-09 00,1.83E+00,2.24E+00,3.11E+00,2.38E+02
2009-02-10 00,3.48E+00,3.29E-02,3.68E+00,1.85E+02
2009-02-11 00,4.14E+00,3.92E-02,4.29E+00,1.80E+02
2009-02-12 00,2.38E+00,7.63E-02,2.46E+00,1.82E+02
2009-02-13 00,5.59E+00,5.61E-01,5.83E+00,1.86E+02
2009-02-14 00,5.32E+00,-1.44E+00,5.58E+00,1.67E+02
2009-02-15 00,8.37E+00,-2.93E+00,8.92E+00,1.61E+02
2009-02-16 00,5.85E+00,-1.26E+00,6.10E+00,1.67E+02
2009-02-17 00,5.46E+00,-1.39E+00,5.68E+00,1.67E+02
2009-02-18 00,3.26E-01,-1.19E+00,1.91E+00,1.31E+02
2009-02-19 00,7.17E-01,-1.80E+00,2.08E+00,1.14E+02
2009-02-20 00,-9.53E-01,-6.78E-01,1.35E+00,8.67E+01
2009-02-21 00,1.94E+00,-7.75E-01,2.21E+00,1.58E+02
2009-02-22 00,5.29E+00,-1.83E+00,5.75E+00,1.60E+02
2009-02-23 00,4.85E+00,8.75E-02,5.19E+00,1.80E+02
2009-02-24 00,2.13E+00,8.92E-02,2.23E+00,1.82E+02
2009-02-25 00,2.12E+00,-3.73E-01,2.40E+00,1.68E+02
2009-02-26 00,2.06E+00,2.33E-01,2.37E+00,1.97E+02
2009-02-27 00,-6.23E-01,7.17E-02,1.17E+00,2.18E+02
2009-02-28 00,9.80E-01,-1.33E+00,2.05E+00,1.27E+02
2009-03-01 00,3.69E+00,-1.83E+00,4.15E+00,1.53E+02
2009-03-02 00,6.42E+00,2.49E-01,6.48E+00,1.81E+02
2009-03-03 00,6.63E+00,1.09E+00,6.82E+00,1.91E+02
2009-03-04 00,3.66E+00,8.47E-01,3.95E+00,1.98E+02
2009-03-05 00,9.54E-01,-3.92E-02,1.13E+00,1.78E+02
2009-03-06 00,-4.29E-02,6.43E-01,2.19E+00,2.05E+02
2009-03-07 00,-1.40E+00,4.67E-01,1.99E+00,2.95E+02
2009-03-08 00,1.87E+00,6.07E-01,2.27E+00,1.88E+02
2009-03-09 00,-1.49E+00,2.04E+00,3.15E+00,3.05E+02
2009-03-10 00,-2.08E+00,6.38E-01,2.26E+00,3.39E+02
2009-03-11 00,-8.39E-01,5.65E-01,1.25E+00,2.51E+02
2009-03-12 00,-1.40E+00,1.03E+00,1.97E+00,2.77E+02
2009-03-13 00,1.85E-01,7.45E-01,1.88E+00,2.19E+02
2009-03-14 00,3.85E+00,6.73E-01,3.97E+00,1.89E+02
2009-03-15 00,4.16E+00,-8.68E-01,4.26E+00,1.68E+02
2009-03-16 00,3.79E+00,-3.51E-01,3.86E+00,1.76E+02
2009-03-17 00,-6.75E-01,1.16E+00,1.48E+00,2.92E+02
2009-03-18 00,-2.96E+00,9.10E-01,3.13E+00,3.43E+02
2009-03-19 00,-1.14E+00,1.12E+00,1.77E+00,3.10E+02
