date,longwave,shortwave
2009-01-01 00,2.85E+02,7.33E+01
2009-01-02 00,3.32E+02,2.90E+01
2009-01-03 00,2.48E+02,1.08E+02
2009-01-04 00,2.40E+02,1.06E+02
2009-01-05 00,3.15E+02,2.72E+01
2009-01-06 00,2.86E+02,9.95E+01
2009-01-07 00,2.65E+02,1.07E+02
2009-01-08 00,2.68E+02,8.55E+01
2009-01-09 00,2.39E+02,1.13E+02
2009-01-10 00,2.38E+02,1.13E+02
2009-01-11 00,2.52E+02,1.12E+02
2009-01-12 00,2.74E+02,1.12E+02
2009-01-13 00,2.60E+02,1.15E+02
2009-01-14 00,2.56E+02,1.16E+02
2009-01-15 00,2.48E+02,1.19E+02
2009-01-16 00,2.55E+02,1.18E+02
2009-01-17 00,2.54E+02,1.20E+02
2009-01-18 00,2.57E+02,1.21E+02
2009-01-19 00,2.53E+02,1.22E+02
2009-01-20 00,2.61E+02,1.21E+02
2009-01-21 00,3.39E+02,5.27E+01
2009-01-22 00,3.59E+02,2.90E+01
2009-01-23 00,3.60E+02,3.96E+01
2009-01-24 00,3.43E+02,7.39E+01
2009-01-25 00,3.07E+02,5.99E+01
2009-01-26 00,2.47E+02,1.30E+02
2009-01-27 00,2.39E+02,1.32E+02
2009-01-28 00,2.53E+02,1.32E+02
2009-01-29 00,2.49E+02,1.36E+02
2009-01-30 00,2.59E+02,1.36E+02
2009-01-31 00,2.62E+02,1.36E+02
2009-02-01 00,2.55E+02,1.43E+02
2009-02-02 00,2.65E+02,1.43E+02
2009-02-03 00,2.76E+02,1.43E+02
2009-02-04 00,2.86E+02,1.38E+02
2009-02-05 00,3.34E+02,7.65E+01
2009-02-06 00,3.34E+02,9.72E+01
2009-02-07 00,2.82E+02,1.44E+02
2009-02-08 00,3.05E+02,9.34E+01
2009-02-09 00,3.02E+02,1.27E+02
2009-02-10 00,2.94E+02,1.26E+02
2009-02-11 00,3.21E+02,8.18E+01
2009-02-12 00,3.05E+02,1.30E+02
2009-02-13 00,3.23E+02,1.10E+02
2009-02-14 00,3.09E+02,1.08E+02
2009-02-15 00,3.36E+02,6.45E+01
2009-02-16 00,3.34E+02,9.47E+01
2009-02-17 00,3.34E+02,9.62E+01
2009-02-18 00,3.03E+02,1.56E+02
2009-02-19 00,2.82E+02,1.68E+02
2009-02-20 00,2.87E+02,1.73E+02
2009-02-21 00,3.11E+02,1.33E+02
2009-02-22 00,3.61E+02,5.92E+01
2009-02-23 00,3.37E+02,1.27E+02
2009-02-24 00,3.44E+02,1.22E+02
2009-02-25 00,3.37E+02,4.99E+01
2009-02-26 00,3.24E+02,1.51E+02
2009-02-27 00,2.84E+02,1.78E+02
2009-02-28 00,3.21E+02,1.68E+02
2009-03-01 00,3.63E+02,6.11E+01
2009-03-02 00,3.54E+02,8.08E+01
2009-03-03 00,3.42E+02,1.21E+02
2009-03-04 00,3.10E+02,1.67E+02
2009-03-05 00,2.99E+02,1.70E+02
2009-03-06 00,2.75E+02,2.12E+02
2009-03-07 00,2.61E+02,2.19E+02
2009-03-08 00,2.69E+02,2.17E+02
2009-03-09 00,2.42E+02,2.27E+02
2009-03-10 00,2.38E+02,2.29E+02
2009-03-11 00,2.52E+02,2.28E+02
2009-03-12 00,2.66E+02,2.32E+02
2009-03-13 00,2.68E+02,2.35E+02
2009-03-14 00,2.84E+02,2.23E+02
2009-03-15 00,3.49E+02,5.64E+01
2009-03-16 00,3.57E+02,7.65E+01
2009-03-17 00,3.22E+02,1.82E+02
2009-03-18 00,2.94E+02,2.37E+02
2009-03-19 00,3.10E+02,2.20E+02
2009-03-20 00,3.06E+02,2.39E+02
2009-03-21 00,3.24E+02,1.74E+02
2009-03-22 00,2.98E+02,1.96E+02
2009-03-23 00,2.45E+02,2.56E+02
2009-03-24 00,2.65E+02,2.56E+02
2009-03-25 00,2.94E+02,2.33E+02
2009-03-26 00,2.94E+02,2.54E+02
2009-03-27 00,2.88E+02,2.59E+02
2009-03-28 00,3.04E+02,2.60E+02
2009-03-29 00,2.63E+02,2.62E+02
2009-03-30 00,2.53E+02,2.72E+02
2009-03-31 00,2.81E+02,2.65E+02
2009-04-01 00,2.93E+02,2.74E+02
2009-04-02 00,2.88E+02,2.79E+02
2009-04-03 00,2.53E+02,2.89E+02
2009-04-04 00,2.51E+02,2.91E+02
2009-04-05 00,2.70E+02,2.92E+02
2009-04-06 00,2.83E+02,2.93E+02
2009-04-07 00,3.18E+02,1.98E+02
2009-04-08 00,3.28E+02,1.76E+02
2009-04-09 00,3.43E+02,1.38E+02
2009-04-10 00,3.21E+02,2.27E+02
2009-04-11 00,2.90E+02,2.91E+02
2009-04-12 00,3.09E+02,2.83E+02
2009-04-13 00,3.03E+02,2.95E+02
2009-04-14 00,2.57E+02,2.77E+02
2009-04-15 00,2.51E+02,3.10E+02
2009-04-16 00,2.73E+02,3.05E+02
2009-04-17 00,2.96E+02,2.90E+02
2009-04-18 00,3.11E+02,3.07E+02
2009-04-19 00,3.22E+02,3.07E+02
2009-04-20 00,3.15E+02,3.17E+02
2009-04-21 00,3.17E+02,3.16E+02
2009-04-22 00,3.15E+02,3.17E+02
2009-04-23 00,3.24E+02,1.62E+02
2009-04-24 00,2.95E+02,3.11E+02
2009-04-25 00,2.81E+02,3.22E+02
2009-04-26 00,2.88E+02,3.10E+02
2009-04-27 00,2.85E+02,3.22E+02
2009-04-28 00,2.89E+02,2.95E+02
2009-04-29 00,2.83E+02,3.27E+02
2009-04-30 00,3.33E+02,1.76E+02
2009-05-01 00,3.72E+02,8.67E+01
2009-05-02 00,3.65E+02,1.31E+02
2009-05-03 00,3.66E+02,1.39E+02
2009-05-04 00,3.65E+02,1.68E+02
2009-05-05 00,3.67E+02,1.86E+02
2009-05-06 00,3.53E+02,2.48E+02
2009-05-07 00,3.16E+02,3.44E+02
2009-05-08 00,3.01E+02,3.51E+02
2009-05-09 00,3.08E+02,3.46E+02
2009-05-10 00,3.17E+02,3.35E+02
2009-05-11 00,3.22E+02,3.43E+02
2009-05-12 00,3.03E+02,3.52E+02
2009-05-13 00,3.12E+02,3.48E+02
2009-05-14 00,3.42E+02,3.32E+02
2009-05-15 00,3.39E+02,3.51E+02
2009-05-16 00,3.36E+02,3.56E+02
2009-05-17 00,3.54E+02,3.56E+02
2009-05-18 00,3.58E+02,3.35E+02
2009-05-19 00,3.34E+02,3.55E+02
2009-05-20 00,3.23E+02,3.57E+02
2009-05-21 00,3.22E+02,3.59E+02
2009-05-22 00,3.27E+02,3.59E+02
2009-05-23 00,3.30E+02,3.58E+02
2009-05-24 00,3.25E+02,3.62E+02
2009-05-25 00,3.41E+02,3.58E+02
2009-05-26 00,3.47E+02,3.61E+02
2009-05-27 00,3.57E+02,3.60E+02
2009-05-28 00,3.62E+02,3.59E+02
2009-05-29 00,3.55E+02,3.53E+02
2009-05-30 00,3.61E+02,3.53E+02
2009-05-31 00,3.52E+02,3.58E+02
2009-06-01 00,3.57E+02,2.94E+02
2009-06-02 00,3.61E+02,2.43E+02
2009-06-03 00,3.73E+02,3.04E+02
2009-06-04 00,3.60E+02,2.81E+02
2009-06-05 00,3.65E+02,2.12E+02
2009-06-06 00,3.65E+02,1.64E+02
2009-06-07 00,3.40E+02,3.56E+02
2009-06-08 00,3.37E+02,3.58E+02
2009-06-09 00,3.36E+02,3.44E+02
2009-06-10 00,3.51E+02,3.08E+02
2009-06-11 00,3.46E+02,3.23E+02
2009-06-12 00,3.50E+02,3.37E+02
2009-06-13 00,3.57E+02,2.51E+02
2009-06-14 00,3.36E+02,3.60E+02
2009-06-15 00,3.60E+02,2.06E+02
2009-06-16 00,3.62E+02,3.51E+02
2009-06-17 00,3.70E+02,3.50E+02
2009-06-18 00,3.71E+02,3.58E+02
2009-06-19 00,3.64E+02,3.51E+02
2009-06-20 00,3.48E+02,3.42E+02
2009-06-21 00,3.28E+02,3.64E+02
2009-06-22 00,3.32E+02,3.67E+02
2009-06-23 00,3.53E+02,3.62E+02
2009-06-24 00,3.61E+02,3.62E+02
2009-06-25 00,3.53E+02,3.62E+02
2009-06-26 00,3.45E+02,3.66E+02
2009-06-27 00,3.71E+02,3.63E+02
2009-06-28 00,3.78E+02,3.63E+02
2009-06-29 00,3.71E+02,3.62E+02
2009-06-30 00,3.62E+02,3.65E+02
2009-07-01 00,3.62E+02,3.65E+02
2009-07-02 00,3.53E+02,3.65E+02
2009-07-03 00,3.38E+02,3.68E+02
2009-07-04 00,3.42E+02,3.67E+02
2009-07-05 00,3.33E+02,3.68E+02
2009-07-06 00,3.12E+02,3.72E+02
2009-07-07 00,3.13E+02,3.72E+02
2009-07-08 00,3.27E+02,3.68E+02
2009-07-09 00,3.31E+02,3.66E+02
2009-07-10 00,3.27E+02,3.68E+02
2009-07-11 00,3.47E+02,3.22E+02
2009-07-12 00,3.21E+02,3.65E+02
2009-07-13 00,3.18E+02,3.72E+02
2009-07-14 00,3.37E+02,3.67E+02
2009-07-15 00,3.41E+02,3.65E+02
2009-07-16 00,3.40E+02,3.64E+02
2009-07-17 00,3.57E+02,3.59E+02
2009-07-18 00,3.71E+02,3.54E+02
2009-07-19 00,3.83E+02,3.51E+02
2009-07-20 00,3.60E+02,3.55E+02
2009-07-21 00,3.43E+02,3.50E+02
2009-07-22 00,3.46E+02,3.52E+02
2009-07-23 00,3.50E+02,3.53E+02
2009-07-24 00,3.46E+02,3.52E+02
2009-07-25 00,3.44E+02,3.53E+02
2009-07-26 00,3.60E+02,3.50E+02
2009-07-27 00,3.74E+02,3.47E+02
2009-07-28 00,3.77E+02,3.42E+02
2009-07-29 00,3.88E+02,3.37E+02
2009-07-30 00,3.81E+02,3.39E+02
2009-07-31 00,3.74E+02,3.23E+02
2009-08-01 00,3.69E+02,3.12E+02
2009-08-02 00,3.60E+02,3.28E+02
2009-08-03 00,3.56E+02,3.28E+02
2009-08-04 00,3.50E+02,3.28E+02
2009-08-05 00,3.48E+02,3.26E+02
2009-08-06 00,3.68E+02,2.04E+02
2009-08-07 00,3.46E+02,3.23E+02
2009-08-08 00,3.59E+02,3.22E+02
2009-08-09 00,3.62E+02,3.22E+02
2009-08-10 00,3.79E+02,3.19E+02
2009-08-11 00,3.67E+02,3.17E+02
2009-08-12 00,3.67E+02,3.16E+02
2009-08-13 00,3.69E+02,3.15E+02
2009-08-14 00,3.40E+02,3.18E+02
2009-08-15 00,3.42E+02,3.18E+02
2009-08-16 00,3.47E+02,3.16E+02
2009-08-17 00,3.55E+02,3.14E+02
2009-08-18 00,3.55E+02,3.15E+02
2009-08-19 00,3.58E+02,3.10E+02
2009-08-20 00,3.50E+02,3.08E+02
2009-08-21 00,3.62E+02,3.07E+02
2009-08-22 00,3.81E+02,2.85E+02
2009-08-23 00,3.54E+02,2.96E+02
2009-08-24 00,3.22E+02,3.03E+02
2009-08-25 00,3.25E+02,3.05E+02
2009-08-26 00,3.23E+02,3.02E+02
2009-08-27 00,3.47E+02,2.93E+02
2009-08-28 00,3.63E+02,2.72E+02
2009-08-29 00,3.82E+02,2.88E+02
2009-08-30 00,3.53E+02,2.94E+02
2009-08-31 00,3.52E+02,2.88E+02
2009-09-01 00,3.60E+02,2.83E+02
2009-09-02 00,3.82E+02,2.42E+02
2009-09-03 00,3.67E+02,2.80E+02
2009-09-04 00,3.38E+02,2.81E+02
2009-09-05 00,3.36E+02,2.77E+02
2009-09-06 00,3.41E+02,2.61E+02
2009-09-07 00,3.32E+02,2.73E+02
2009-09-08 00,3.30E+02,2.72E+02
2009-09-09 00,3.45E+02,2.71E+02
2009-09-10 00,3.58E+02,2.67E+02
2009-09-11 00,3.65E+02,2.66E+02
2009-09-12 00,3.79E+02,2.29E+02
2009-09-13 00,3.56E+02,2.37E+02
2009-09-14 00,3.80E+02,1.57E+02
2009-09-15 00,3.48E+02,2.54E+02
2009-09-16 00,3.53E+02,2.53E+02
2009-09-17 00,3.69E+02,2.43E+02
2009-09-18 00,3.64E+02,2.44E+02
2009-09-19 00,3.53E+02,2.45E+02
2009-09-20 00,3.53E+02,2.46E+02
2009-09-21 00,3.35E+02,2.50E+02
2009-09-22 00,3.39E+02,2.47E+02
2009-09-23 00,3.30E+02,2.49E+02
2009-09-24 00,3.31E+02,2.45E+02
2009-09-25 00,3.31E+02,2.42E+02
2009-09-26 00,3.48E+02,2.38E+02
2009-09-27 00,3.48E+02,2.36E+02
2009-09-28 00,3.42E+02,2.31E+02
2009-09-29 00,3.20E+02,2.18E+02
2009-09-30 00,2.79E+02,2.32E+02
2009-10-01 00,2.88E+02,2.25E+02
2009-10-02 00,3.03E+02,2.22E+02
2009-10-03 00,2.89E+02,2.17E+02
2009-10-04 00,2.71E+02,1.95E+02
2009-10-05 00,2.81E+02,2.06E+02
2009-10-06 00,2.89E+02,2.13E+02
2009-10-07 00,2.96E+02,2.11E+02
2009-10-08 00,3.02E+02,2.09E+02
2009-10-09 00,3.08E+02,2.05E+02
2009-10-10 00,3.06E+02,2.05E+02
2009-10-11 00,3.04E+02,2.01E+02
2009-10-12 00,3.46E+02,1.69E+02
2009-10-13 00,3.75E+02,4.98E+01
2009-10-14 00,3.74E+02,1.14E+02
2009-10-15 00,3.84E+02,7.76E+01
2009-10-16 00,3.50E+02,1.84E+02
2009-10-17 00,3.65E+02,1.68E+02
2009-10-18 00,3.52E+02,1.65E+02
2009-10-19 00,3.35E+02,8.89E+01
2009-10-20 00,3.07E+02,1.73E+02
2009-10-21 00,3.21E+02,1.64E+02
2009-10-22 00,3.25E+02,1.74E+02
2009-10-23 00,3.32E+02,1.66E+02
2009-10-24 00,3.30E+02,1.63E+02
2009-10-25 00,3.08E+02,1.71E+02
2009-10-26 00,3.11E+02,1.68E+02
2009-10-27 00,2.63E+02,1.73E+02
2009-10-28 00,2.48E+02,1.71E+02
2009-10-29 00,2.84E+02,1.59E+02
2009-10-30 00,2.95E+02,1.62E+02
2009-10-31 00,3.01E+02,1.59E+02
2009-11-01 00,3.09E+02,1.52E+02
2009-11-02 00,3.12E+02,1.50E+02
2009-11-03 00,3.08E+02,1.50E+02
2009-11-04 00,3.14E+02,1.47E+02
2009-11-05 00,3.44E+02,1.19E+02
2009-11-06 00,3.65E+02,5.66E+01
2009-11-07 00,3.00E+02,1.44E+02
2009-11-08 00,2.67E+02,1.40E+02
2009-11-09 00,2.84E+02,1.29E+02
2009-11-10 00,3.24E+02,1.05E+02
2009-11-11 00,3.41E+02,1.08E+02
2009-11-12 00,2.88E+02,1.36E+02
2009-11-13 00,2.66E+02,1.36E+02
2009-11-14 00,2.60E+02,1.35E+02
2009-11-15 00,2.57E+02,1.33E+02
2009-11-16 00,2.62E+02,1.32E+02
2009-11-17 00,2.81E+02,1.30E+02
2009-11-18 00,2.71E+02,1.29E+02
2009-11-19 00,2.56E+02,1.25E+02
2009-11-20 00,2.96E+02,6.37E+01
2009-11-21 00,2.74E+02,1.24E+02
2009-11-22 00,3.18E+02,5.96E+01
2009-11-23 00,2.61E+02,1.23E+02
2009-11-24 00,2.71E+02,1.16E+02
2009-11-25 00,2.70E+02,1.21E+02
2009-11-26 00,2.79E+02,1.17E+02
2009-11-27 00,3.13E+02,8.94E+01
2009-11-28 00,2.48E+02,1.20E+02
2009-11-29 00,2.47E+02,1.20E+02
2009-11-30 00,2.55E+02,1.17E+02
2009-12-01 00,2.55E+02,1.18E+02
2009-12-02 00,2.51E+02,1.18E+02
2009-12-03 00,2.43E+02,1.19E+02
2009-12-04 00,2.64E+02,1.13E+02
2009-12-05 00,2.41E+02,1.17E+02
2009-12-06 00,2.62E+02,1.09E+02
2009-12-07 00,2.92E+02,5.60E+01
2009-12-08 00,2.23E+02,1.13E+02
2009-12-09 00,2.17E+02,1.16E+02
2009-12-10 00,2.80E+02,8.59E+01
2009-12-11 00,3.34E+02,2.63E+01
2009-12-12 00,3.41E+02,3.86E+01
2009-12-13 00,3.48E+02,2.92E+01
2009-12-14 00,3.22E+02,7.52E+01
2009-12-15 00,3.45E+02,5.90E+01
2009-12-16 00,3.54E+02,3.46E+01
2009-12-17 00,3.30E+02,8.97E+01
2009-12-18 00,2.92E+02,1.07E+02
2009-12-19 00,2.95E+02,9.78E+01
2009-12-20 00,3.37E+02,3.95E+01
2009-12-21 00,3.23E+02,7.46E+01
2009-12-22 00,2.52E+02,1.10E+02
2009-12-23 00,2.36E+02,1.11E+02
2009-12-24 00,2.45E+02,1.11E+02
2009-12-25 00,2.44E+02,1.11E+02
2009-12-26 00,2.90E+02,9.63E+01
2009-12-27 00,3.16E+02,5.49E+01
2009-12-28 00,3.15E+02,8.17E+01
2009-12-29 00,3.02E+02,7.98E+01
2009-12-30 00,3.17E+02,7.21E+01
2009-12-31 00,3.45E+02,5.38E+01
2010-01-01 00,3.45E+02,2.85E+01
2010-01-02 00,2.99E+02,9.40E+01
2010-01-03 00,2.79E+02,1.00E+02
2010-01-04 00,2.70E+02,1.05E+02
2010-01-05 00,2.87E+02,9.44E+01
2010-01-06 00,3.20E+02,8.34E+01
2010-01-07 00,2.93E+02,1.05E+02
2010-01-08 00,3.20E+02,4.26E+01
2010-01-09 00,3.10E+02,9.44E+01
2010-01-10 00,2.99E+02,9.84E+01
2010-01-11 00,3.22E+02,9.50E+01
2010-01-12 00,3.53E+02,4.18E+01
2010-01-13 00,3.31E+02,8.02E+01
2010-01-14 00,2.83E+02,1.10E+02
2010-01-15 00,3.01E+02,1.03E+02
2010-01-16 00,3.08E+02,1.13E+02
2010-01-17 00,3.52E+02,3.96E+01
2010-01-18 00,3.38E+02,4.71E+01
2010-01-19 00,3.30E+02,7.02E+01
2010-01-20 00,3.24E+02,5.92E+01
2010-01-21 00,3.21E+02,8.39E+01
2010-01-22 00,3.05E+02,8.73E+01
2010-01-23 00,3.16E+02,5.65E+01
2010-01-24 00,3.31E+02,6.16E+01
2010-01-25 00,3.50E+02,3.46E+01
2010-01-26 00,3.38E+02,5.13E+01
2010-01-27 00,2.80E+02,1.21E+02
2010-01-28 00,2.81E+02,1.18E+02
2010-01-29 00,3.18E+02,1.06E+02
2010-01-30 00,3.16E+02,9.65E+01
2010-01-31 00,2.77E+02,1.18E+02
2010-02-01 00,3.09E+02,1.09E+02
2010-02-02 00,3.00E+02,1.10E+02
2010-02-03 00,3.00E+02,1.34E+02
2010-02-04 00,3.41E+02,9.48E+01
2010-02-05 00,3.29E+02,8.79E+01
2010-02-06 00,3.34E+02,8.50E+01
2010-02-07 00,3.03E+02,1.37E+02
2010-02-08 00,3.16E+02,1.10E+02
2010-02-09 00,3.10E+02,7.47E+01
2010-02-10 00,2.79E+02,1.21E+02
2010-02-11 00,3.42E+02,6.24E+01
2010-02-12 00,3.25E+02,1.23E+02
2010-02-13 00,2.84E+02,1.57E+02
2010-02-14 00,2.80E+02,1.43E+02
2010-02-15 00,2.95E+02,1.53E+02
2010-02-16 00,3.07E+02,1.52E+02
2010-02-17 00,2.96E+02,1.62E+02
2010-02-18 00,3.03E+02,1.65E+02
2010-02-19 00,3.10E+02,1.63E+02
2010-02-20 00,2.98E+02,1.59E+02
2010-02-21 00,3.05E+02,1.28E+02
2010-02-22 00,2.53E+02,1.80E+02
2010-02-23 00,3.26E+02,9.51E+01
2010-02-24 00,3.37E+02,6.27E+01
2010-02-25 00,3.13E+02,1.52E+02
2010-02-26 00,3.52E+02,6.55E+01
