Date,Minimum Temperature,Maximum Temperature,Mean Temperature,Radiation,Potential Evapotranspiration
2009-01-01 00,1.19,10.80,-5.31,15.50,1.3199
2009-01-02 00,5.75,10.66,7.49,15.58,1.9211
2009-01-03 00,0.42,10.81,5.55,15.37,2.5454
2009-01-04 00,-2.02,8.34,2.86,14.96,2.1892
2009-01-05 00,2.49,7.35,4.34,14.76,1.5851
2009-01-06 00,1.75,12.15,5.86,16.64,2.7935
2009-01-07 00,0.80,12.39,6.62,16.08,2.9404
2009-01-08 00,1.33,12.10,6.47,15.28,2.6775
2009-01-09 00,1.21,13.84,6.27,15.19,2.8585
2009-01-10 00,-2.08,13.02,4.82,15.17,2.9329
2009-01-11 00,0.42,14.90,6.55,15.75,3.2104
2009-01-12 00,3.17,19.23,9.92,16.67,4.0742
2009-01-13 00,2.43,17.80,9.52,16.19,3.8148
2009-01-14 00,3.61,17.03,9.79,16.09,3.5768
2009-01-15 00,1.52,18.11,8.79,15.87,3.7805
2009-01-16 00,1.31,18.26,9.24,16.14,3.9531
2009-01-17 00,2.29,16.90,9.72,16.13,3.7335
2009-01-18 00,1.39,17.97,9.31,16.33,3.9651
2009-01-19 00,1.62,17.73,8.90,16.18,3.8138
2009-01-20 00,1.63,17.83,8.69,16.51,3.8736
2009-01-21 00,5.85,16.28,8.79,16.91,3.1948
2009-01-22 00,8.41,12.84,10.73,16.77,2.2157
2009-01-23 00,10.07,13.62,11.61,17.26,2.1041
2009-01-24 00,9.17,14.49,11.56,17.99,2.6805
2009-01-25 00,6.04,11.24,8.44,15.85,2.0867
2009-01-26 00,0.56,13.06,6.35,16.31,3.0630
2009-01-27 00,-1.85,12.34,4.95,16.03,3.0221
2009-01-28 00,-0.38,14.99,6.88,16.62,3.5372
2009-01-29 00,0.23,17.31,7.97,16.62,3.8937
2009-01-30 00,2.46,17.02,9.32,17.08,3.8879
2009-01-31 00,2.50,17.32,9.76,17.21,4.0166
2009-02-01 00,0.63,18.31,9.59,17.19,4.3564
2009-02-02 00,3.24,18.22,10.56,17.60,4.2508
2009-02-03 00,5.46,20.59,12.59,18.12,4.7131
2009-02-04 00,6.61,20.42,13.45,18.29,4.6724
2009-02-05 00,7.57,15.29,10.73,17.75,3.0950
2009-02-06 00,8.38,16.48,11.17,18.62,3.3769
2009-02-07 00,5.10,18.47,10.53,18.40,4.1934
2009-02-08 00,2.53,11.65,7.78,17.19,2.9211
2009-02-09 00,4.78,12.25,8.66,18.53,2.9476
2009-02-10 00,0.78,11.79,6.05,18.13,3.1571
2009-02-11 00,4.17,11.37,7.73,17.39,2.6213
2009-02-12 00,4.41,12.52,8.20,18.78,3.0587
2009-02-13 00,5.48,11.48,8.08,18.71,2.6091
2009-02-14 00,4.55,11.65,8.32,18.01,2.7576
2009-02-15 00,7.54,13.91,9.59,17.32,2.6335
2009-02-16 00,7.87,13.30,9.61,18.52,2.6031
2009-02-17 00,7.84,12.89,9.71,18.56,2.5243
2009-02-18 00,7.30,15.31,10.47,19.81,3.4867
2009-02-19 00,4.10,17.54,10.96,19.44,4.5098
2009-02-20 00,6.63,18.58,12.58,19.85,4.5855
2009-02-21 00,7.16,17.66,12.08,19.19,4.0883
2009-02-22 00,10.10,15.15,12.37,18.15,2.7073
2009-02-23 00,10.83,18.47,13.93,20.02,3.8634
2009-02-24 00,10.77,16.83,13.22,20.10,3.3775
2009-02-25 00,7.77,11.85,10.15,16.72,2.0766
2009-02-26 00,9.12,16.24,12.20,20.48,3.6076
2009-02-27 00,5.14,16.02,10.97,19.97,4.1698
2009-02-28 00,6.96,19.83,13.34,21.12,5.1907
2009-03-01 00,11.25,14.17,12.81,18.31,2.1067
2009-03-02 00,11.17,16.30,13.41,18.76,2.9180
2009-03-03 00,9.50,13.61,11.39,20.00,2.6038
2009-03-04 00,6.24,14.00,10.09,20.64,3.5275
2009-03-05 00,4.02,13.95,9.20,20.26,3.7922
2009-03-06 00,4.58,14.91,9.25,21.04,4.0248
2009-03-07 00,0.50,15.67,8.47,20.72,4.6647
2009-03-08 00,3.06,16.47,9.47,20.97,4.6064
2009-03-09 00,0.07,12.06,6.00,20.27,3.6752
2009-03-10 00,-1.40,13.80,5.90,20.17,4.1011
2009-03-11 00,0.34,16.47,8.14,20.72,4.7496
2009-03-12 00,1.26,19.21,10.39,21.49,5.6467
2009-03-13 00,2.92,20.08,11.19,21.75,5.7471
2009-03-14 00,3.55,16.75,9.66,21.91,4.8085
2009-03-15 00,7.09,13.27,10.23,17.52,2.6856
2009-03-16 00,11.28,16.06,13.03,18.73,2.7767
2009-03-17 00,10.75,19.95,14.61,21.80,4.7138
2009-03-18 00,6.92,21.55,13.85,22.96,6.1153
2009-03-19 00,9.14,22.46,15.67,22.89,6.1508
2009-03-20 00,8.73,23.15,15.57,23.53,6.5596
2009-03-21 00,8.70,15.90,12.11,21.52,3.7992
2009-03-22 00,3.90,13.29,9.34,21.33,3.9022
2009-03-23 00,0.02,14.75,6.51,21.64,4.4418
2009-03-24 00,-0.52,18.86,9.11,22.48,5.8600
2009-03-25 00,3.67,21.26,12.47,22.75,6.3545
2009-03-26 00,7.66,21.79,14.09,23.69,6.2474
2009-03-27 00,8.67,24.07,15.33,23.65,6.7637
2009-03-28 00,9.70,24.81,16.28,24.34,7.0927
2009-03-29 00,4.03,17.63,11.67,22.67,5.4209
2009-03-30 00,1.42,19.21,9.39,22.68,5.7220
2009-03-31 00,4.64,21.83,13.14,23.59,6.6581
2009-04-01 00,7.09,22.06,13.91,24.52,6.6170
2009-04-02 00,7.25,21.10,13.10,24.50,6.1974
2009-04-03 00,4.55,16.81,9.57,23.38,4.9298
2009-04-04 00,2.49,17.86,9.84,23.41,5.5811
2009-04-05 00,4.86,22.34,13.28,24.27,6.9382
2009-04-06 00,5.78,25.60,15.63,24.87,8.1414
2009-04-07 00,7.52,16.96,12.34,22.30,4.5440
2009-04-08 00,7.79,15.65,11.59,21.78,3.9482
2009-04-09 00,8.53,14.84,11.33,20.77,3.3441
2009-04-10 00,7.01,18.28,12.33,23.66,5.2654
2009-04-11 00,5.97,20.27,13.15,25.06,6.4522
2009-04-12 00,7.90,23.33,15.37,25.57,7.3305
2009-04-13 00,9.98,23.39,15.89,25.82,7.0067
2009-04-14 00,1.73,14.82,8.93,23.08,4.9112
2009-04-15 00,-1.70,16.88,8.07,24.22,5.9414
2009-04-16 00,2.45,20.96,12.01,24.98,7.0477
2009-04-17 00,6.21,23.27,14.82,25.33,7.5094
2009-04-18 00,8.28,26.54,17.82,26.68,8.9348
2009-04-19 00,13.12,29.89,21.47,27.19,9.6188
2009-04-20 00,14.02,31.55,22.81,27.30,10.2111
2009-04-21 00,13.17,32.25,23.14,27.31,10.7426
2009-04-22 00,14.46,31.99,22.43,27.31,10.1187
2009-04-23 00,9.21,19.54,14.87,20.99,4.8491
2009-04-24 00,8.52,18.48,12.88,26.17,5.5752
2009-04-25 00,5.02,21.48,12.73,26.02,7.0910
2009-04-26 00,5.91,21.49,13.55,25.85,7.0364
2009-04-27 00,6.03,20.97,12.89,26.21,6.8397
2009-04-28 00,3.80,18.43,10.89,25.22,6.0893
2009-04-29 00,4.30,20.92,12.24,26.37,7.1036
2009-04-30 00,6.22,18.63,13.17,21.99,5.2777
2009-05-01 00,12.16,15.19,13.82,19.80,2.3981
2009-05-02 00,12.66,16.47,14.24,21.45,2.9513
2009-05-03 00,12.04,19.17,15.19,21.80,4.2246
2009-05-04 00,11.67,19.16,14.65,23.00,4.4935
2009-05-05 00,13.65,21.63,17.29,23.90,5.2126
2009-05-06 00,14.19,24.46,19.26,25.97,6.7846
2009-05-07 00,12.56,27.44,19.39,28.49,8.9919
2009-05-08 00,10.30,27.17,18.59,28.17,9.2625
2009-05-09 00,9.14,28.85,19.24,28.25,10.2187
2009-05-10 00,10.03,29.77,20.96,28.16,10.6685
2009-05-11 00,12.54,28.82,20.54,28.76,9.7878
2009-05-12 00,9.47,27.09,18.02,28.28,9.3545
2009-05-13 00,8.67,27.25,18.41,28.50,9.7872
2009-05-14 00,13.11,28.40,20.73,29.11,9.6489
2009-05-15 00,12.73,31.10,22.33,29.77,11.2664
2009-05-16 00,13.04,36.35,25.71,29.89,13.8159
2009-05-17 00,17.70,38.76,29.11,30.65,14.5162
2009-05-18 00,17.91,35.46,26.39,29.93,12.1880
2009-05-19 00,14.21,31.22,22.09,29.79,10.7834
2009-05-20 00,12.38,30.05,21.42,29.35,10.6468
2009-05-21 00,13.55,31.47,22.13,29.41,10.9380
2009-05-22 00,11.21,31.29,21.18,29.65,11.3939
2009-05-23 00,11.53,29.79,20.40,29.72,10.6736
2009-05-24 00,10.66,28.15,19.12,29.64,10.0677
2009-05-25 00,12.35,31.10,21.60,30.17,11.3234
2009-05-26 00,14.22,35.06,25.24,30.56,13.2105
2009-05-27 00,15.93,36.95,27.32,30.97,14.0943
2009-05-28 00,16.10,36.10,26.34,31.11,13.5126
2009-05-29 00,15.30,33.38,24.11,30.57,11.9866
2009-05-30 00,13.85,31.87,22.81,30.83,11.6916
2009-05-31 00,14.71,31.79,22.98,30.68,11.3773
2009-06-01 00,13.33,28.87,21.37,28.10,9.5443
2009-06-02 00,12.93,24.82,19.91,26.12,7.4714
2009-06-03 00,14.68,29.16,22.44,29.26,9.8581
2009-06-04 00,15.18,25.33,19.93,27.72,7.3311
2009-06-05 00,12.90,21.47,17.76,24.92,5.7082
2009-06-06 00,14.65,22.67,18.02,22.83,5.0940
2009-06-07 00,12.82,28.90,20.83,30.06,10.2458
2009-06-08 00,12.34,30.06,21.13,30.00,10.8173
2009-06-09 00,11.98,27.96,20.12,29.40,9.8029
2009-06-10 00,13.62,26.76,19.98,28.45,8.5721
2009-06-11 00,12.25,28.77,20.62,28.93,9.9387
2009-06-12 00,12.16,29.03,21.16,29.67,10.4439
2009-06-13 00,14.87,26.81,20.20,26.26,7.5870
2009-06-14 00,12.01,29.39,21.14,30.07,10.7408
2009-06-15 00,13.67,27.07,20.78,24.42,7.5863
2009-06-16 00,15.25,32.76,24.26,30.79,11.9228
2009-06-17 00,15.13,33.45,25.03,31.10,12.5419
2009-06-18 00,17.76,36.82,28.38,31.48,13.9640
2009-06-19 00,18.60,36.40,28.02,30.90,13.1396
2009-06-20 00,13.26,32.18,23.40,29.77,11.7376
2009-06-21 00,11.15,30.22,21.46,29.91,11.2802
2009-06-22 00,11.54,34.08,24.16,30.19,13.2313
2009-06-23 00,13.17,37.30,27.23,30.89,15.0323
2009-06-24 00,17.48,38.74,28.87,31.25,14.7928
2009-06-25 00,14.97,35.79,25.94,30.89,13.5644
2009-06-26 00,14.63,36.82,26.54,30.72,14.1177
2009-06-27 00,16.86,42.89,31.20,31.71,17.4408
2009-06-28 00,21.04,44.77,34.11,32.00,17.7999
2009-06-29 00,22.87,43.27,33.30,31.66,16.0761
2009-06-30 00,17.88,40.52,29.83,31.41,15.6620
2009-07-01 00,18.40,38.86,28.79,31.42,14.5658
2009-07-02 00,16.58,39.10,28.05,31.01,14.8436
2009-07-03 00,15.02,38.34,26.72,30.49,14.4200
2009-07-04 00,14.65,38.51,26.92,30.61,14.7107
2009-07-05 00,14.32,35.28,24.80,30.25,12.9798
2009-07-06 00,11.67,34.05,23.01,29.55,12.5518
2009-07-07 00,11.53,34.49,23.53,29.58,12.8887
2009-07-08 00,13.90,34.91,24.56,30.02,12.8238
2009-07-09 00,13.54,35.32,25.02,30.07,13.2198
2009-07-10 00,12.99,35.75,24.88,29.99,13.4336
2009-07-11 00,16.97,35.45,26.09,28.87,11.9826
2009-07-12 00,13.04,35.81,25.18,29.67,13.3864
2009-07-13 00,12.85,37.85,26.55,29.83,14.5520
2009-07-14 00,17.12,41.78,30.35,30.40,15.9919
2009-07-15 00,17.57,42.36,30.66,30.54,16.2086
2009-07-16 00,15.68,41.55,29.46,30.42,16.0868
2009-07-17 00,18.48,43.96,31.75,30.90,17.0020
2009-07-18 00,19.82,45.05,32.90,31.35,17.5628
2009-07-19 00,22.05,45.98,33.75,31.74,17.6088
2009-07-20 00,19.25,43.01,30.90,30.86,16.1174
2009-07-21 00,16.63,39.59,28.01,29.92,14.4501
2009-07-22 00,15.82,39.56,27.82,30.16,14.7470
2009-07-23 00,16.16,39.58,27.81,30.36,14.7414
2009-07-24 00,15.86,38.07,26.84,30.12,13.9423
2009-07-25 00,14.43,39.18,26.76,30.12,14.6903
2009-07-26 00,16.37,41.79,29.50,30.67,16.0919
2009-07-27 00,19.41,42.90,31.30,31.16,16.3132
2009-07-28 00,19.00,40.82,29.87,31.05,15.2094
2009-07-29 00,18.28,39.09,28.73,31.29,14.6132
2009-07-30 00,19.57,39.40,28.99,31.08,14.2489
2009-07-31 00,18.30,37.44,27.64,30.11,13.1676
2009-08-01 00,17.43,37.04,27.34,29.44,12.9489
2009-08-02 00,16.97,34.68,25.56,29.72,11.9320
2009-08-03 00,15.64,35.01,25.05,29.54,12.2542
2009-08-04 00,15.01,34.45,24.74,29.27,12.0763
2009-08-05 00,15.14,33.01,24.16,29.08,11.3491
2009-08-06 00,14.31,26.26,20.44,24.69,7.1801
2009-08-07 00,14.94,31.99,23.43,28.91,10.8262
2009-08-08 00,16.78,35.55,26.52,29.43,12.4306
2009-08-09 00,17.07,38.71,28.95,29.52,14.1244
2009-08-10 00,21.13,42.40,31.53,30.13,15.0792
2009-08-11 00,18.41,39.62,28.34,29.54,13.8077
2009-08-12 00,16.78,40.58,28.43,29.49,14.6303
2009-08-13 00,18.21,37.96,28.08,29.50,13.2347
2009-08-14 00,15.76,35.10,24.69,28.43,11.6880
2009-08-15 00,14.73,37.23,25.54,28.48,12.8800
2009-08-16 00,16.16,38.33,26.93,28.64,13.2679
2009-08-17 00,15.95,40.16,27.67,28.89,14.2194
2009-08-18 00,16.28,41.47,28.31,28.92,14.7226
2009-08-19 00,17.83,40.81,28.41,28.83,14.0481
2009-08-20 00,16.12,36.28,25.31,28.42,12.1044
2009-08-21 00,16.44,40.74,27.81,28.88,14.2873
2009-08-22 00,19.43,40.26,29.70,28.77,13.7231
2009-08-23 00,18.87,34.27,25.72,28.08,10.5497
2009-08-24 00,13.06,34.02,22.65,27.00,11.0008
2009-08-25 00,12.43,35.71,23.61,27.22,11.9641
2009-08-26 00,15.52,37.19,25.09,26.98,11.8524
2009-08-27 00,15.30,38.19,26.78,27.65,12.9750
2009-08-28 00,19.52,41.22,29.86,27.42,13.3948
2009-08-29 00,20.87,42.57,31.71,28.97,14.6974
2009-08-30 00,19.80,36.80,27.45,27.92,11.4604
2009-08-31 00,15.69,35.40,24.95,27.67,11.5538
2009-09-01 00,16.19,38.23,26.88,27.79,12.8242
2009-09-02 00,21.02,40.91,30.11,26.98,12.6815
2009-09-03 00,19.49,40.64,29.30,27.95,13.3202
2009-09-04 00,17.40,36.62,25.94,26.74,11.2826
2009-09-05 00,12.66,31.92,21.91,26.48,10.1538
2009-09-06 00,15.47,30.70,22.50,26.01,8.9991
2009-09-07 00,13.54,33.94,23.07,26.11,10.6050
2009-09-08 00,14.21,35.64,24.12,26.02,11.1074
2009-09-09 00,15.26,37.44,25.66,26.62,11.9880
2009-09-10 00,18.61,40.63,29.05,27.00,13.0565
2009-09-11 00,20.98,42.50,30.57,27.27,13.4639
2009-09-12 00,21.41,37.77,28.16,26.23,10.7274
2009-09-13 00,16.04,29.34,22.55,25.63,8.2981
2009-09-14 00,18.29,26.51,21.45,23.19,5.7421
2009-09-15 00,14.65,32.40,22.82,26.01,9.7943
2009-09-16 00,15.66,35.35,24.77,26.18,10.8798
2009-09-17 00,17.09,36.74,26.77,26.43,11.4862
2009-09-18 00,20.77,40.05,29.31,26.28,11.9602
2009-09-19 00,17.98,35.63,25.88,25.84,10.4324
2009-09-20 00,16.87,37.55,26.24,25.87,11.3992
2009-09-21 00,16.84,39.48,27.53,25.27,11.9931
2009-09-22 00,18.22,41.72,29.03,25.31,12.6417
2009-09-23 00,17.11,41.00,28.25,25.01,12.3835
2009-09-24 00,17.04,38.75,26.41,24.86,11.2673
2009-09-25 00,15.42,37.92,26.04,24.74,11.3172
2009-09-26 00,18.22,43.01,29.91,25.32,13.2337
2009-09-27 00,20.23,42.52,30.35,25.22,12.6110
2009-09-28 00,16.96,34.60,24.78,24.73,9.7296
2009-09-29 00,11.73,26.59,19.84,23.24,7.4177
2009-09-30 00,7.30,25.86,16.20,22.07,7.1127
2009-10-01 00,9.85,30.11,19.68,22.16,8.2240
2009-10-02 00,12.28,31.56,21.43,22.68,8.5948
2009-10-03 00,10.00,27.38,17.79,21.90,7.1471
2009-10-04 00,4.86,20.61,12.88,20.10,5.3838
2009-10-05 00,5.66,22.42,13.44,21.06,5.9250
2009-10-06 00,6.15,27.06,15.99,21.70,7.3749
2009-10-07 00,8.56,29.51,18.36,21.92,7.9822
2009-10-08 00,9.89,28.27,18.33,22.05,7.5141
2009-10-09 00,10.09,29.29,19.37,22.15,7.9354
2009-10-10 00,9.23,29.60,18.95,22.07,8.0536
2009-10-11 00,9.97,26.62,17.21,21.80,6.8510
2009-10-12 00,9.13,23.36,16.65,22.22,6.3523
2009-10-13 00,13.31,17.60,15.09,18.35,2.7504
2009-10-14 00,12.60,22.22,17.48,21.07,5.0714
2009-10-15 00,17.19,22.35,19.44,19.96,3.7145
2009-10-16 00,15.23,28.90,21.53,23.05,7.3737
2009-10-17 00,16.25,30.50,23.10,23.03,7.8236
2009-10-18 00,14.73,26.97,20.73,22.35,6.6269
2009-10-19 00,10.94,18.76,14.60,18.32,3.6510
2009-10-20 00,9.40,22.60,15.57,20.74,5.5322
2009-10-21 00,10.83,23.86,17.39,20.95,5.8547
2009-10-22 00,12.02,25.29,18.33,21.51,6.2296
2009-10-23 00,12.19,27.16,19.34,21.51,6.7997
2009-10-24 00,14.11,27.74,19.99,21.30,6.5363
2009-10-25 00,12.37,26.90,18.51,20.68,6.2974
2009-10-26 00,11.97,26.70,18.32,20.69,6.3099
2009-10-27 00,6.92,19.04,13.02,18.85,4.4503
2009-10-28 00,2.75,17.28,9.40,18.10,4.1282
2009-10-29 00,3.78,20.96,12.11,19.12,5.2140
2009-10-30 00,6.36,22.84,14.67,19.76,5.7304
2009-10-31 00,8.86,23.34,16.21,19.88,5.6596
2009-11-01 00,10.09,25.02,17.55,19.92,5.9862
2009-11-02 00,10.45,26.99,18.90,19.98,6.5599
2009-11-03 00,11.39,27.24,19.21,19.76,6.4063
2009-11-04 00,11.87,25.05,17.93,19.90,5.6803
2009-11-05 00,9.77,21.95,16.06,19.97,5.1909
2009-11-06 00,13.35,17.73,15.68,18.19,2.8042
2009-11-07 00,9.05,20.58,14.35,19.19,4.6077
2009-11-08 00,3.42,19.58,11.84,17.58,4.6093
2009-11-09 00,5.24,19.97,12.48,17.84,4.5610
2009-11-10 00,7.50,20.85,13.97,18.55,4.7361
2009-11-11 00,11.30,20.88,15.98,19.39,4.4612
2009-11-12 00,6.74,18.86,12.68,18.31,4.2749
2009-11-13 00,1.67,16.07,9.35,17.34,3.9293
2009-11-14 00,2.45,17.37,9.49,17.07,3.9587
2009-11-15 00,1.52,16.80,8.90,16.88,3.8761
2009-11-16 00,4.09,18.25,11.04,17.05,4.0707
2009-11-17 00,4.50,18.81,10.90,17.78,4.2457
2009-11-18 00,4.76,15.23,9.10,17.28,3.3089
2009-11-19 00,1.68,15.22,7.93,16.47,3.4305
2009-11-20 00,1.58,11.21,6.46,15.55,2.5756
2009-11-21 00,2.45,14.09,8.32,17.21,3.3749
2009-11-22 00,5.62,13.01,8.72,16.29,2.5840
2009-11-23 00,2.59,16.05,8.51,16.56,3.5165
2009-11-24 00,3.80,16.64,9.87,16.73,3.6497
2009-11-25 00,4.82,18.11,11.43,16.85,3.9500
2009-11-26 00,5.54,17.68,11.43,17.07,3.8246
2009-11-27 00,6.29,17.11,11.46,17.38,3.6793
2009-11-28 00,3.84,16.19,9.11,15.92,3.3121
2009-11-29 00,1.07,18.12,8.54,15.84,3.7909
2009-11-30 00,2.95,16.03,8.82,16.08,3.4055
2009-12-01 00,1.30,14.72,8.58,16.14,3.4318
2009-12-02 00,2.24,14.34,8.09,15.95,3.1601
2009-12-03 00,-1.17,13.21,6.73,15.60,3.1933
2009-12-04 00,0.87,13.04,7.24,16.27,3.1274
2009-12-05 00,1.05,13.70,6.87,15.44,2.9810
2009-12-06 00,-3.93,10.99,3.88,16.02,2.9510
2009-12-07 00,0.88,7.67,4.36,15.01,1.9068
2009-12-08 00,-3.11,6.91,1.43,14.51,1.9434
2009-12-09 00,-4.66,6.64,0.61,14.38,1.9583
2009-12-10 00,-3.75,7.63,2.21,15.79,2.3453
2009-12-11 00,2.75,5.32,4.15,15.58,1.2060
2009-12-12 00,5.43,10.77,8.15,16.38,2.1606
2009-12-13 00,8.12,11.14,9.28,16.28,1.6856
2009-12-14 00,7.24,13.05,9.58,17.14,2.4880
2009-12-15 00,8.21,14.24,10.89,17.46,2.7069
2009-12-16 00,9.86,13.39,11.28,16.79,2.0183
2009-12-17 00,8.97,16.25,11.99,18.13,3.2061
2009-12-18 00,6.95,16.91,11.88,17.23,3.5502
2009-12-19 00,6.70,16.16,11.06,16.96,3.3121
2009-12-20 00,6.85,12.89,9.94,16.25,2.4372
2009-12-21 00,7.81,15.77,11.25,17.19,3.0999
2009-12-22 00,3.15,11.60,7.24,15.62,2.5018
2009-12-23 00,-1.87,10.63,4.10,14.97,2.5502
2009-12-24 00,-1.06,11.15,4.80,15.35,2.6665
2009-12-25 00,-0.43,11.25,5.76,15.34,2.7179
2009-12-26 00,1.13,12.34,6.64,16.70,3.0068
2009-12-27 00,5.11,11.10,7.85,16.04,2.2147
2009-12-28 00,3.32,12.30,7.53,17.14,2.8623
2009-12-29 00,3.78,10.71,7.78,16.51,2.4461
2009-12-30 00,7.12,12.74,9.26,16.81,2.3725
2009-12-31 00,6.23,13.40,9.44,17.21,2.7611
2010-01-01 00,8.52,12.27,10.53,16.15,1.9488
2010-01-02 00,6.72,16.15,10.71,16.98,3.2702
2010-01-03 00,4.62,15.55,9.59,16.40,3.2664
2010-01-04 00,4.43,15.35,9.63,16.23,3.2356
2010-01-05 00,4.00,15.38,9.29,16.48,3.3142
2010-01-06 00,3.87,14.47,9.65,17.41,3.4228
2010-01-07 00,5.55,16.00,10.64,17.21,3.4800
2010-01-08 00,6.63,11.87,8.90,15.66,2.1053
2010-01-09 00,4.03,15.35,9.60,17.47,3.5439
2010-01-10 00,6.60,16.49,11.54,17.18,3.4878
2010-01-11 00,8.23,17.92,12.21,18.02,3.7026
2010-01-12 00,9.80,15.14,11.73,17.03,2.5573
2010-01-13 00,9.34,15.89,12.83,17.75,3.0615
2010-01-14 00,5.45,15.96,10.68,16.97,3.4463
2010-01-15 00,6.38,16.16,10.66,17.46,3.4179
2010-01-16 00,7.38,17.20,12.01,18.18,3.7357
2010-01-17 00,8.56,12.85,10.62,16.90,2.1888
2010-01-18 00,8.83,12.01,10.20,16.62,1.8252
2010-01-19 00,7.75,11.24,9.02,17.29,1.9058
2010-01-20 00,7.17,11.12,8.58,16.55,1.9095
2010-01-21 00,5.95,11.78,8.35,17.50,2.4315
2010-01-22 00,5.81,10.72,8.00,16.92,2.1286
2010-01-23 00,4.61,10.07,6.90,16.09,2.0436
2010-01-24 00,5.40,10.41,7.93,16.95,2.1476
2010-01-25 00,6.96,10.08,8.65,16.62,1.7082
2010-01-26 00,7.56,11.97,9.81,16.81,2.1443
2010-01-27 00,3.99,14.43,9.07,17.33,3.3092
2010-01-28 00,2.91,14.96,8.69,17.25,3.4901
2010-01-29 00,5.93,15.55,10.46,18.31,3.5317
2010-01-30 00,7.84,13.84,10.30,17.81,2.6971
