Date,Max Temperature,Min Temperature,Average Temperature
2009-01-01 00,283.950,274.340,267.841
2009-01-02 00,283.810,278.900,280.637
2009-01-03 00,283.960,273.570,278.700
2009-01-04 00,281.490,271.130,276.006
2009-01-05 00,280.500,275.640,277.494
2009-01-06 00,285.300,274.900,279.010
2009-01-07 00,285.540,273.950,279.773
2009-01-08 00,285.250,274.480,279.617
2009-01-09 00,286.990,274.360,279.424
2009-01-10 00,286.170,271.070,277.970
2009-01-11 00,288.050,273.570,279.699
2009-01-12 00,292.380,276.320,283.068
2009-01-13 00,290.950,275.580,282.668
2009-01-14 00,290.180,276.760,282.936
2009-01-15 00,291.260,274.670,281.940
2009-01-16 00,291.410,274.460,282.387
2009-01-17 00,290.050,275.440,282.865
2009-01-18 00,291.120,274.540,282.465
2009-01-19 00,290.880,274.770,282.046
2009-01-20 00,290.980,274.780,281.838
2009-01-21 00,289.430,279.000,281.941
2009-01-22 00,285.990,281.560,283.879
2009-01-23 00,286.770,283.220,284.759
2009-01-24 00,287.640,282.320,284.706
2009-01-25 00,284.390,279.190,281.585
2009-01-26 00,286.210,273.710,279.503
2009-01-27 00,285.490,271.300,278.095
2009-01-28 00,288.140,272.770,280.030
2009-01-29 00,290.460,273.380,281.123
2009-01-30 00,290.170,275.610,282.469
2009-01-31 00,290.470,275.650,282.914
2009-02-01 00,291.460,273.780,282.740
2009-02-02 00,291.370,276.390,283.711
2009-02-03 00,293.740,278.610,285.738
2009-02-04 00,293.570,279.760,286.595
2009-02-05 00,288.440,280.720,283.884
2009-02-06 00,289.630,281.530,284.322
2009-02-07 00,291.620,278.250,283.679
2009-02-08 00,284.800,275.680,280.930
2009-02-09 00,285.400,277.930,281.814
2009-02-10 00,284.940,273.930,279.196
2009-02-11 00,284.520,277.320,280.877
2009-02-12 00,285.670,277.560,281.352
2009-02-13 00,284.630,278.630,281.227
2009-02-14 00,284.800,277.700,281.472
2009-02-15 00,287.060,280.690,282.744
2009-02-16 00,286.450,281.020,282.756
2009-02-17 00,286.040,280.990,282.857
2009-02-18 00,288.460,280.450,283.621
2009-02-19 00,290.690,277.250,284.105
2009-02-20 00,291.730,279.780,285.725
2009-02-21 00,290.810,280.310,285.229
2009-02-22 00,288.300,283.250,285.523
2009-02-23 00,291.620,283.980,287.083
2009-02-24 00,289.980,283.920,286.365
2009-02-25 00,285.000,280.920,283.295
2009-02-26 00,289.390,282.270,285.345
2009-02-27 00,289.170,278.290,284.120
2009-02-28 00,292.980,280.110,286.491
2009-03-01 00,287.320,284.400,285.958
2009-03-02 00,289.450,284.320,286.564
2009-03-03 00,286.760,282.650,284.537
2009-03-04 00,287.150,279.390,283.239
2009-03-05 00,287.100,277.170,282.353
2009-03-06 00,288.060,277.730,282.402
2009-03-07 00,288.820,273.650,281.624
2009-03-08 00,289.620,276.210,282.619
2009-03-09 00,285.210,273.220,279.150
2009-03-10 00,286.950,271.750,279.050
2009-03-11 00,289.620,273.490,281.285
2009-03-12 00,292.360,274.410,283.544
2009-03-13 00,293.230,276.070,284.336
2009-03-14 00,289.900,276.700,282.813
2009-03-15 00,286.420,280.240,283.383
2009-03-16 00,289.210,284.430,286.183
2009-03-17 00,293.100,283.900,287.764
2009-03-18 00,294.700,280.070,286.998
2009-03-19 00,295.610,282.290,288.817
2009-03-20 00,296.300,281.880,288.717
2009-03-21 00,289.050,281.850,285.257
2009-03-22 00,286.440,277.050,282.486
2009-03-23 00,287.900,273.170,279.660
2009-03-24 00,292.010,272.630,282.255
2009-03-25 00,294.410,276.820,285.617
2009-03-26 00,294.940,280.810,287.239
2009-03-27 00,297.220,281.820,288.484
2009-03-28 00,297.960,282.850,289.430
2009-03-29 00,290.780,277.180,284.820
2009-03-30 00,292.360,274.570,282.541
2009-03-31 00,294.980,277.790,286.289
2009-04-01 00,295.210,280.240,287.060
2009-04-02 00,294.250,280.400,286.248
2009-04-03 00,289.960,277.700,282.722
2009-04-04 00,291.010,275.640,282.989
2009-04-05 00,295.490,278.010,286.429
2009-04-06 00,298.750,278.930,288.780
2009-04-07 00,290.110,280.670,285.493
2009-04-08 00,288.800,280.940,284.742
2009-04-09 00,287.990,281.680,284.481
2009-04-10 00,291.430,280.160,285.481
2009-04-11 00,293.420,279.120,286.300
2009-04-12 00,296.480,281.050,288.520
2009-04-13 00,296.540,283.130,289.043
2009-04-14 00,287.970,274.880,282.075
2009-04-15 00,290.030,271.450,281.220
2009-04-16 00,294.110,275.600,285.160
2009-04-17 00,296.420,279.360,287.972
2009-04-18 00,299.690,281.430,290.972
2009-04-19 00,303.040,286.270,294.615
2009-04-20 00,304.700,287.170,295.965
2009-04-21 00,305.400,286.320,296.293
2009-04-22 00,305.140,287.610,295.581
2009-04-23 00,292.690,282.360,288.017
2009-04-24 00,291.630,281.670,286.033
2009-04-25 00,294.630,278.170,285.881
2009-04-26 00,294.640,279.060,286.703
2009-04-27 00,294.120,279.180,286.044
2009-04-28 00,291.580,276.950,284.044
2009-04-29 00,294.070,277.450,285.389
2009-04-30 00,291.780,279.370,286.317
2009-05-01 00,288.340,285.310,286.974
2009-05-02 00,289.620,285.810,287.392
2009-05-03 00,292.320,285.190,288.340
2009-05-04 00,292.310,284.820,287.798
2009-05-05 00,294.780,286.800,290.443
2009-05-06 00,297.610,287.340,292.414
2009-05-07 00,300.590,285.710,292.544
2009-05-08 00,300.320,283.450,291.740
2009-05-09 00,302.000,282.290,292.385
2009-05-10 00,302.920,283.180,294.106
2009-05-11 00,301.970,285.690,293.685
2009-05-12 00,300.240,282.620,291.173
2009-05-13 00,300.400,281.820,291.561
2009-05-14 00,301.550,286.260,293.880
2009-05-15 00,304.250,285.880,295.482
2009-05-16 00,309.500,286.190,298.862
2009-05-17 00,311.910,290.850,302.262
2009-05-18 00,308.610,291.060,299.536
2009-05-19 00,304.370,287.360,295.242
2009-05-20 00,303.200,285.530,294.568
2009-05-21 00,304.620,286.700,295.280
2009-05-22 00,304.440,284.360,294.325
2009-05-23 00,302.940,284.680,293.551
2009-05-24 00,301.300,283.810,292.269
2009-05-25 00,304.250,285.500,294.748
2009-05-26 00,308.210,287.370,298.387
2009-05-27 00,310.100,289.080,300.470
2009-05-28 00,309.250,289.250,299.485
2009-05-29 00,306.530,288.450,297.257
2009-05-30 00,305.020,287.000,295.958
2009-05-31 00,304.940,287.860,296.130
2009-06-01 00,302.020,286.480,294.523
2009-06-02 00,297.970,286.080,293.058
2009-06-03 00,302.310,287.830,295.591
2009-06-04 00,298.480,288.330,293.082
2009-06-05 00,294.620,286.050,290.909
2009-06-06 00,295.820,287.800,291.170
2009-06-07 00,302.050,285.970,293.978
2009-06-08 00,303.210,285.490,294.284
2009-06-09 00,301.110,285.130,293.269
2009-06-10 00,299.910,286.770,293.127
2009-06-11 00,301.920,285.400,293.771
2009-06-12 00,302.180,285.310,294.305
2009-06-13 00,299.960,288.020,293.349
2009-06-14 00,302.540,285.160,294.291
2009-06-15 00,300.220,286.820,293.934
2009-06-16 00,305.910,288.400,297.408
